datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
7/2/2018 4:00:00 AM,7/2/2018 12:00:00 AM,RFC,MIDATL,AE,AECO,1436.013,TRUE
7/2/2018 4:00:00 AM,7/2/2018 12:00:00 AM,RFC,MIDATL,AE,VMEU,89.267,TRUE
7/2/2018 5:00:00 AM,7/2/2018 1:00:00 AM,RFC,MIDATL,AE,AECO,1315.842,TRUE
7/2/2018 5:00:00 AM,7/2/2018 1:00:00 AM,RFC,MIDATL,AE,VMEU,83.41,TRUE
7/2/2018 6:00:00 AM,7/2/2018 2:00:00 AM,RFC,MIDATL,AE,AECO,1225.185,TRUE
7/2/2018 6:00:00 AM,7/2/2018 2:00:00 AM,RFC,MIDATL,AE,VMEU,78.695,TRUE
7/2/2018 7:00:00 AM,7/2/2018 3:00:00 AM,RFC,MIDATL,AE,AECO,1156.987,TRUE
7/2/2018 7:00:00 AM,7/2/2018 3:00:00 AM,RFC,MIDATL,AE,VMEU,75.555,TRUE
7/2/2018 8:00:00 AM,7/2/2018 4:00:00 AM,RFC,MIDATL,AE,AECO,1138.477,TRUE
7/2/2018 8:00:00 AM,7/2/2018 4:00:00 AM,RFC,MIDATL,AE,VMEU,75.394,TRUE
7/2/2018 9:00:00 AM,7/2/2018 5:00:00 AM,RFC,MIDATL,AE,AECO,1151.052,TRUE
7/2/2018 9:00:00 AM,7/2/2018 5:00:00 AM,RFC,MIDATL,AE,VMEU,78.039,TRUE
7/2/2018 10:00:00 AM,7/2/2018 6:00:00 AM,RFC,MIDATL,AE,AECO,1218.729,TRUE
7/2/2018 10:00:00 AM,7/2/2018 6:00:00 AM,RFC,MIDATL,AE,VMEU,82.146,TRUE
7/2/2018 11:00:00 AM,7/2/2018 7:00:00 AM,RFC,MIDATL,AE,AECO,1352.005,TRUE
7/2/2018 11:00:00 AM,7/2/2018 7:00:00 AM,RFC,MIDATL,AE,VMEU,88.176,TRUE
7/2/2018 12:00:00 PM,7/2/2018 8:00:00 AM,RFC,MIDATL,AE,AECO,1514.194,TRUE
7/2/2018 12:00:00 PM,7/2/2018 8:00:00 AM,RFC,MIDATL,AE,VMEU,93.413,TRUE
