datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
7/2/2018 4:00:00 AM,7/2/2018 12:00:00 AM,RFC,WEST,AEP,AEPAPT,4380.719,True
7/2/2018 4:00:00 AM,7/2/2018 12:00:00 AM,RFC,WEST,AEP,AEPIMP,3440.054,True
7/2/2018 4:00:00 AM,7/2/2018 12:00:00 AM,RFC,WEST,AEP,AEPKPT,617.501,True
7/2/2018 4:00:00 AM,7/2/2018 12:00:00 AM,RFC,WEST,AEP,AEPOPT,7027.981,True
7/2/2018 5:00:00 AM,7/2/2018 1:00:00 AM,RFC,WEST,AEP,AEPAPT,4157.381,True
7/2/2018 5:00:00 AM,7/2/2018 1:00:00 AM,RFC,WEST,AEP,AEPIMP,3276.970,True
7/2/2018 5:00:00 AM,7/2/2018 1:00:00 AM,RFC,WEST,AEP,AEPKPT,592.013,True
7/2/2018 5:00:00 AM,7/2/2018 1:00:00 AM,RFC,WEST,AEP,AEPOPT,6631.449,True
7/2/2018 6:00:00 AM,7/2/2018 2:00:00 AM,RFC,WEST,AEP,AEPAPT,4018.804,True
7/2/2018 6:00:00 AM,7/2/2018 2:00:00 AM,RFC,WEST,AEP,AEPIMP,3198.134,True
7/2/2018 6:00:00 AM,7/2/2018 2:00:00 AM,RFC,WEST,AEP,AEPKPT,574.952,True
7/2/2018 6:00:00 AM,7/2/2018 2:00:00 AM,RFC,WEST,AEP,AEPOPT,6305.213,True
7/2/2018 7:00:00 AM,7/2/2018 3:00:00 AM,RFC,WEST,AEP,AEPAPT,3919.974,True
7/2/2018 7:00:00 AM,7/2/2018 3:00:00 AM,RFC,WEST,AEP,AEPIMP,3089.891,True
7/2/2018 7:00:00 AM,7/2/2018 3:00:00 AM,RFC,WEST,AEP,AEPKPT,559.772,True
7/2/2018 7:00:00 AM,7/2/2018 3:00:00 AM,RFC,WEST,AEP,AEPOPT,6116.577,True
7/2/2018 8:00:00 AM,7/2/2018 4:00:00 AM,RFC,WEST,AEP,AEPAPT,3892.680,True
7/2/2018 8:00:00 AM,7/2/2018 4:00:00 AM,RFC,WEST,AEP,AEPIMP,3072.984,True
7/2/2018 8:00:00 AM,7/2/2018 4:00:00 AM,RFC,WEST,AEP,AEPKPT,560.042,True
7/2/2018 8:00:00 AM,7/2/2018 4:00:00 AM,RFC,WEST,AEP,AEPOPT,6085.757,True
7/2/2018 9:00:00 AM,7/2/2018 5:00:00 AM,RFC,WEST,AEP,AEPAPT,4001.667,True
7/2/2018 9:00:00 AM,7/2/2018 5:00:00 AM,RFC,WEST,AEP,AEPIMP,3198.081,True
7/2/2018 9:00:00 AM,7/2/2018 5:00:00 AM,RFC,WEST,AEP,AEPKPT,568.821,True
7/2/2018 9:00:00 AM,7/2/2018 5:00:00 AM,RFC,WEST,AEP,AEPOPT,6255.168,True
7/2/2018 10:00:00 AM,7/2/2018 6:00:00 AM,RFC,WEST,AEP,AEPAPT,4165.083,True
7/2/2018 10:00:00 AM,7/2/2018 6:00:00 AM,RFC,WEST,AEP,AEPIMP,3298.001,True
7/2/2018 10:00:00 AM,7/2/2018 6:00:00 AM,RFC,WEST,AEP,AEPKPT,588.176,True
7/2/2018 10:00:00 AM,7/2/2018 6:00:00 AM,RFC,WEST,AEP,AEPOPT,6484.851,True
7/2/2018 11:00:00 AM,7/2/2018 7:00:00 AM,RFC,WEST,AEP,AEPAPT,4411.510,True
7/2/2018 11:00:00 AM,7/2/2018 7:00:00 AM,RFC,WEST,AEP,AEPIMP,3466.132,True
7/2/2018 11:00:00 AM,7/2/2018 7:00:00 AM,RFC,WEST,AEP,AEPKPT,609.133,True
7/2/2018 11:00:00 AM,7/2/2018 7:00:00 AM,RFC,WEST,AEP,AEPOPT,6940.392,True
7/2/2018 12:00:00 PM,7/2/2018 8:00:00 AM,RFC,WEST,AEP,AEPAPT,4676.517,True
7/2/2018 12:00:00 PM,7/2/2018 8:00:00 AM,RFC,WEST,AEP,AEPIMP,3637.226,True
7/2/2018 12:00:00 PM,7/2/2018 8:00:00 AM,RFC,WEST,AEP,AEPKPT,647.808,True
7/2/2018 12:00:00 PM,7/2/2018 8:00:00 AM,RFC,WEST,AEP,AEPOPT,7399.196,True
7/2/2018 1:00:00 PM,7/2/2018 9:00:00 AM,RFC,WEST,AEP,AEPAPT,5027.118,True
7/2/2018 1:00:00 PM,7/2/2018 9:00:00 AM,RFC,WEST,AEP,AEPIMP,3742.587,True
7/2/2018 1:00:00 PM,7/2/2018 9:00:00 AM,RFC,WEST,AEP,AEPKPT,685.935,True
7/2/2018 1:00:00 PM,7/2/2018 9:00:00 AM,RFC,WEST,AEP,AEPOPT,7945.440,True
7/2/2018 2:00:00 PM,7/2/2018 10:00:00 AM,RFC,WEST,AEP,AEPAPT,5421.203,True
