datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr
7/2/2018 4:00:00 AM,7/2/2018 12:00:00 AM,5021611,WOLFCREE,138 KV,T1,LOAD,AEP,27.11,25.840000,-0.210000,-1.060000,True,1
7/2/2018 5:00:00 AM,7/2/2018 1:00:00 AM,5021611,WOLFCREE,138 KV,T1,LOAD,AEP,23.76,22.910000,0.150000,-1.000000,True,1
7/2/2018 6:00:00 AM,7/2/2018 2:00:00 AM,5021611,WOLFCREE,138 KV,T1,LOAD,AEP,21.94,21.210000,0.110000,-0.840000,True,1
7/2/2018 7:00:00 AM,7/2/2018 3:00:00 AM,5021611,WOLFCREE,138 KV,T1,LOAD,AEP,20.96,20.360000,0.100000,-0.700000,True,1
7/2/2018 8:00:00 AM,7/2/2018 4:00:00 AM,5021611,WOLFCREE,138 KV,T1,LOAD,AEP,20.84,20.280000,0.100000,-0.660000,True,1
7/2/2018 9:00:00 AM,7/2/2018 5:00:00 AM,5021611,WOLFCREE,138 KV,T1,LOAD,AEP,21.89,21.390000,0.140000,-0.640000,True,1
7/2/2018 10:00:00 AM,7/2/2018 6:00:00 AM,5021611,WOLFCREE,138 KV,T1,LOAD,AEP,24.69,24.200000,0.240000,-0.730000,True,1
7/2/2018 11:00:00 AM,7/2/2018 7:00:00 AM,5021611,WOLFCREE,138 KV,T1,LOAD,AEP,28.43,27.670000,0.110000,-0.870000,True,1
7/2/2018 12:00:00 PM,7/2/2018 8:00:00 AM,5021611,WOLFCREE,138 KV,T1,LOAD,AEP,33.12,32.210000,0.290000,-1.200000,True,1
7/2/2018 1:00:00 PM,7/2/2018 9:00:00 AM,5021611,WOLFCREE,138 KV,T1,LOAD,AEP,40.17,38.110000,-0.590000,-1.470000,True,1
7/2/2018 2:00:00 PM,7/2/2018 10:00:00 AM,5021611,WOLFCREE,138 KV,T1,LOAD,AEP,50.82,46.510000,-2.570000,-1.740000,True,1
7/2/2018 3:00:00 PM,7/2/2018 11:00:00 AM,5021611,WOLFCREE,138 KV,T1,LOAD,AEP,59.15,58.430000,1.450000,-2.170000,True,1
7/2/2018 4:00:00 PM,7/2/2018 12:00:00 PM,5021611,WOLFCREE,138 KV,T1,LOAD,AEP,72.83,74.330000,3.980000,-2.480000,True,1
7/2/2018 5:00:00 PM,7/2/2018 1:00:00 PM,5021611,WOLFCREE,138 KV,T1,LOAD,AEP,93.99,94.000000,3.400000,-3.390000,True,1
7/2/2018 6:00:00 PM,7/2/2018 2:00:00 PM,5021611,WOLFCREE,138 KV,T1,LOAD,AEP,112.27,105.100000,-2.870000,-4.300000,True,1
