datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,prelim_load_avg_hourly
10/1/2017 4:00:00 AM,10/1/2017 12:00:00 AM,10/1/2017 5:00:00 AM,10/1/2017 1:00:00 AM,ATSI,5548.4
10/1/2017 5:00:00 AM,10/1/2017 1:00:00 AM,10/1/2017 6:00:00 AM,10/1/2017 2:00:00 AM,ATSI,5403.0
10/1/2017 6:00:00 AM,10/1/2017 2:00:00 AM,10/1/2017 7:00:00 AM,10/1/2017 3:00:00 AM,ATSI,5323.1
10/1/2017 7:00:00 AM,10/1/2017 3:00:00 AM,10/1/2017 8:00:00 AM,10/1/2017 4:00:00 AM,ATSI,5253.4
10/1/2017 8:00:00 AM,10/1/2017 4:00:00 AM,10/1/2017 9:00:00 AM,10/1/2017 5:00:00 AM,ATSI,5253.0
10/1/2017 9:00:00 AM,10/1/2017 5:00:00 AM,10/1/2017 10:00:00 AM,10/1/2017 6:00:00 AM,ATSI,5302.5
10/1/2017 10:00:00 AM,10/1/2017 6:00:00 AM,10/1/2017 11:00:00 AM,10/1/2017 7:00:00 AM,ATSI,5564.9
10/1/2017 11:00:00 AM,10/1/2017 7:00:00 AM,10/1/2017 12:00:00 PM,10/1/2017 8:00:00 AM,ATSI,5683.4
10/1/2017 12:00:00 PM,10/1/2017 8:00:00 AM,10/1/2017 1:00:00 PM,10/1/2017 9:00:00 AM,ATSI,5888.5
10/1/2017 1:00:00 PM,10/1/2017 9:00:00 AM,10/1/2017 2:00:00 PM,10/1/2017 10:00:00 AM,ATSI,6043.2
10/1/2017 2:00:00 PM,10/1/2017 10:00:00 AM,10/1/2017 3:00:00 PM,10/1/2017 11:00:00 AM,ATSI,6093.8
10/1/2017 3:00:00 PM,10/1/2017 11:00:00 AM,10/1/2017 4:00:00 PM,10/1/2017 12:00:00 PM,ATSI,6155.6
10/1/2017 4:00:00 PM,10/1/2017 12:00:00 PM,10/1/2017 5:00:00 PM,10/1/2017 1:00:00 PM,ATSI,6257.4
10/1/2017 5:00:00 PM,10/1/2017 1:00:00 PM,10/1/2017 6:00:00 PM,10/1/2017 2:00:00 PM,ATSI,6249.4
10/1/2017 6:00:00 PM,10/1/2017 2:00:00 PM,10/1/2017 7:00:00 PM,10/1/2017 3:00:00 PM,ATSI,6292.3
10/1/2017 7:00:00 PM,10/1/2017 3:00:00 PM,10/1/2017 8:00:00 PM,10/1/2017 4:00:00 PM,ATSI,6289.7
10/1/2017 8:00:00 PM,10/1/2017 4:00:00 PM,10/1/2017 9:00:00 PM,10/1/2017 5:00:00 PM,ATSI,6370.5
10/1/2017 9:00:00 PM,10/1/2017 5:00:00 PM,10/1/2017 10:00:00 PM,10/1/2017 6:00:00 PM,ATSI,6414.4
10/1/2017 10:00:00 PM,10/1/2017 6:00:00 PM,10/1/2017 11:00:00 PM,10/1/2017 7:00:00 PM,ATSI,6501.3
10/1/2017 11:00:00 PM,10/1/2017 7:00:00 PM,10/2/2017 12:00:00 AM,10/1/2017 8:00:00 PM,ATSI,6789.6
