datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,prelim_load_avg_hourly
10/1/2017 4:00:00 AM,10/1/2017 12:00:00 AM,10/1/2017 5:00:00 AM,10/1/2017 1:00:00 AM,DAY,1332.3
10/1/2017 5:00:00 AM,10/1/2017 1:00:00 AM,10/1/2017 6:00:00 AM,10/1/2017 2:00:00 AM,DAY,1279.6
10/1/2017 6:00:00 AM,10/1/2017 2:00:00 AM,10/1/2017 7:00:00 AM,10/1/2017 3:00:00 AM,DAY,1248.7
10/1/2017 7:00:00 AM,10/1/2017 3:00:00 AM,10/1/2017 8:00:00 AM,10/1/2017 4:00:00 AM,DAY,1234.6
10/1/2017 8:00:00 AM,10/1/2017 4:00:00 AM,10/1/2017 9:00:00 AM,10/1/2017 5:00:00 AM,DAY,1231.4
10/1/2017 9:00:00 AM,10/1/2017 5:00:00 AM,10/1/2017 10:00:00 AM,10/1/2017 6:00:00 AM,DAY,1246.5
10/1/2017 10:00:00 AM,10/1/2017 6:00:00 AM,10/1/2017 11:00:00 AM,10/1/2017 7:00:00 AM,DAY,1291.8
10/1/2017 11:00:00 AM,10/1/2017 7:00:00 AM,10/1/2017 12:00:00 PM,10/1/2017 8:00:00 AM,DAY,1339.8
10/1/2017 12:00:00 PM,10/1/2017 8:00:00 AM,10/1/2017 1:00:00 PM,10/1/2017 9:00:00 AM,DAY,1413.1
10/1/2017 1:00:00 PM,10/1/2017 9:00:00 AM,10/1/2017 2:00:00 PM,10/1/2017 10:00:00 AM,DAY,1476.9
10/1/2017 2:00:00 PM,10/1/2017 10:00:00 AM,10/1/2017 3:00:00 PM,10/1/2017 11:00:00 AM,DAY,1526.8
10/1/2017 3:00:00 PM,10/1/2017 11:00:00 AM,10/1/2017 4:00:00 PM,10/1/2017 12:00:00 PM,DAY,1556.6
10/1/2017 4:00:00 PM,10/1/2017 12:00:00 PM,10/1/2017 5:00:00 PM,10/1/2017 1:00:00 PM,DAY,1578.6
10/1/2017 5:00:00 PM,10/1/2017 1:00:00 PM,10/1/2017 6:00:00 PM,10/1/2017 2:00:00 PM,DAY,1584.0
10/1/2017 6:00:00 PM,10/1/2017 2:00:00 PM,10/1/2017 7:00:00 PM,10/1/2017 3:00:00 PM,DAY,1582.6
10/1/2017 7:00:00 PM,10/1/2017 3:00:00 PM,10/1/2017 8:00:00 PM,10/1/2017 4:00:00 PM,DAY,1599.5
10/1/2017 8:00:00 PM,10/1/2017 4:00:00 PM,10/1/2017 9:00:00 PM,10/1/2017 5:00:00 PM,DAY,1636.8
10/1/2017 9:00:00 PM,10/1/2017 5:00:00 PM,10/1/2017 10:00:00 PM,10/1/2017 6:00:00 PM,DAY,1672.7
10/1/2017 10:00:00 PM,10/1/2017 6:00:00 PM,10/1/2017 11:00:00 PM,10/1/2017 7:00:00 PM,DAY,1675.9
10/1/2017 11:00:00 PM,10/1/2017 7:00:00 PM,10/2/2017 12:00:00 AM,10/1/2017 8:00:00 PM,DAY,1731.1
10/2/2017 12:00:00 AM,10/1/2017 8:00:00 PM,10/2/2017 1:00:00 AM,10/1/2017 9:00:00 PM,DAY,1756.3
10/2/2017 1:00:00 AM,10/1/2017 9:00:00 PM,10/2/2017 2:00:00 AM,10/1/2017 10:00:00 PM,DAY,1683.8
10/2/2017 2:00:00 AM,10/1/2017 10:00:00 PM,10/2/2017 3:00:00 AM,10/1/2017 11:00:00 PM,DAY,1585.0
10/2/2017 3:00:00 AM,10/1/2017 11:00:00 PM,10/2/2017 4:00:00 AM,10/2/2017 12:00:00 AM,DAY,1505.9
10/2/2017 4:00:00 AM,10/2/2017 12:00:00 AM,10/2/2017 5:00:00 AM,10/2/2017 1:00:00 AM,DAY,1441.6
10/2/2017 5:00:00 AM,10/2/2017 1:00:00 AM,10/2/2017 6:00:00 AM,10/2/2017 2:00:00 AM,DAY,1400.5
10/2/2017 6:00:00 AM,10/2/2017 2:00:00 AM,10/2/2017 7:00:00 AM,10/2/2017 3:00:00 AM,DAY,1386.8
10/2/2017 7:00:00 AM,10/2/2017 3:00:00 AM,10/2/2017 8:00:00 AM,10/2/2017 4:00:00 AM,DAY,1389.6
10/2/2017 8:00:00 AM,10/2/2017 4:00:00 AM,10/2/2017 9:00:00 AM,10/2/2017 5:00:00 AM,DAY,1425.2
