datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr
10/1/2017 4:00:00 AM,10/1/2017 12:00:00 AM,38367857,09KNOLLW,138 KV,BK-2,LOAD,DAY,15.79,19.500000,3.130000,0.580000,True,1
10/1/2017 5:00:00 AM,10/1/2017 1:00:00 AM,38367857,09KNOLLW,138 KV,BK-2,LOAD,DAY,14.99,18.890000,3.260000,0.640000,True,1
10/1/2017 6:00:00 AM,10/1/2017 2:00:00 AM,38367857,09KNOLLW,138 KV,BK-2,LOAD,DAY,14.03,18.050000,3.410000,0.610000,True,1
10/1/2017 7:00:00 AM,10/1/2017 3:00:00 AM,38367857,09KNOLLW,138 KV,BK-2,LOAD,DAY,12.97,16.970000,3.430000,0.570000,True,1
10/1/2017 8:00:00 AM,10/1/2017 4:00:00 AM,38367857,09KNOLLW,138 KV,BK-2,LOAD,DAY,13.22,17.910000,4.140000,0.550000,True,1
10/1/2017 9:00:00 AM,10/1/2017 5:00:00 AM,38367857,09KNOLLW,138 KV,BK-2,LOAD,DAY,13.70,18.390000,4.110000,0.580000,True,1
10/1/2017 10:00:00 AM,10/1/2017 6:00:00 AM,38367857,09KNOLLW,138 KV,BK-2,LOAD,DAY,14.29,18.820000,3.930000,0.600000,True,1
10/1/2017 11:00:00 AM,10/1/2017 7:00:00 AM,38367857,09KNOLLW,138 KV,BK-2,LOAD,DAY,15.32,19.340000,3.290000,0.730000,True,1
10/1/2017 12:00:00 PM,10/1/2017 8:00:00 AM,38367857,09KNOLLW,138 KV,BK-2,LOAD,DAY,17.58,21.330000,3.130000,0.620000,True,1
10/1/2017 1:00:00 PM,10/1/2017 9:00:00 AM,38367857,09KNOLLW,138 KV,BK-2,LOAD,DAY,19.53,22.740000,2.660000,0.550000,True,1
10/1/2017 2:00:00 PM,10/1/2017 10:00:00 AM,38367857,09KNOLLW,138 KV,BK-2,LOAD,DAY,20.55,23.430000,2.390000,0.490000,True,1
10/1/2017 3:00:00 PM,10/1/2017 11:00:00 AM,38367857,09KNOLLW,138 KV,BK-2,LOAD,DAY,21.03,24.100000,2.510000,0.560000,True,1
10/1/2017 4:00:00 PM,10/1/2017 12:00:00 PM,38367857,09KNOLLW,138 KV,BK-2,LOAD,DAY,21.56,24.570000,2.420000,0.590000,True,1
10/1/2017 5:00:00 PM,10/1/2017 1:00:00 PM,38367857,09KNOLLW,138 KV,BK-2,LOAD,DAY,21.82,24.890000,2.440000,0.630000,True,1
10/1/2017 6:00:00 PM,10/1/2017 2:00:00 PM,38367857,09KNOLLW,138 KV,BK-2,LOAD,DAY,21.76,25.130000,2.760000,0.610000,True,1
10/1/2017 7:00:00 PM,10/1/2017 3:00:00 PM,38367857,09KNOLLW,138 KV,BK-2,LOAD,DAY,22.06,25.470000,2.790000,0.620000,True,1
10/1/2017 8:00:00 PM,10/1/2017 4:00:00 PM,38367857,09KNOLLW,138 KV,BK-2,LOAD,DAY,22.69,26.380000,3.030000,0.660000,True,1
10/1/2017 9:00:00 PM,10/1/2017 5:00:00 PM,38367857,09KNOLLW,138 KV,BK-2,LOAD,DAY,23.33,26.840000,2.860000,0.650000,True,1
10/1/2017 10:00:00 PM,10/1/2017 6:00:00 PM,38367857,09KNOLLW,138 KV,BK-2,LOAD,DAY,23.99,27.250000,2.640000,0.620000,True,1
10/1/2017 11:00:00 PM,10/1/2017 7:00:00 PM,38367857,09KNOLLW,138 KV,BK-2,LOAD,DAY,29.58,32.730000,2.510000,0.640000,True,1
10/2/2017 12:00:00 AM,10/1/2017 8:00:00 PM,38367857,09KNOLLW,138 KV,BK-2,LOAD,DAY,25.81,29.010000,2.580000,0.620000,True,1
10/2/2017 1:00:00 AM,10/1/2017 9:00:00 PM,38367857,09KNOLLW,138 KV,BK-2,LOAD,DAY,22.67,25.690000,2.370000,0.650000,True,1
10/2/2017 2:00:00 AM,10/1/2017 10:00:00 PM,38367857,09KNOLLW,138 KV,BK-2,LOAD,DAY,19.87,23.000000,2.390000,0.740000,True,1
10/2/2017 3:00:00 AM,10/1/2017 11:00:00 PM,38367857,09KNOLLW,138 KV,BK-2,LOAD,DAY,16.44,19.260000,2.280000,0.540000,True,1
10/2/2017 4:00:00 AM,10/2/2017 12:00:00 AM,38367857,09KNOLLW,138 KV,BK-2,LOAD,DAY,17.01,20.440000,2.980000,0.450000,True,1
10/2/2017 5:00:00 AM,10/2/2017 1:00:00 AM,38367857,09KNOLLW,138 KV,BK-2,LOAD,DAY,17.03,19.880000,2.400000,0.450000,True,1
