forecast_date,total_outages_mw
10/1/2017 12:00:00 AM,46853
10/2/2017 12:00:00 AM,48570
10/3/2017 12:00:00 AM,48601
10/4/2017 12:00:00 AM,50072
10/5/2017 12:00:00 AM,51313
10/6/2017 12:00:00 AM,51498
10/7/2017 12:00:00 AM,55033
10/8/2017 12:00:00 AM,53802
10/9/2017 12:00:00 AM,53401
10/10/2017 12:00:00 AM,54048
10/11/2017 12:00:00 AM,54051
10/12/2017 12:00:00 AM,54408
10/13/2017 12:00:00 AM,56837
10/14/2017 12:00:00 AM,55778
10/15/2017 12:00:00 AM,55704
10/16/2017 12:00:00 AM,56775
10/17/2017 12:00:00 AM,56965
10/18/2017 12:00:00 AM,56265
10/19/2017 12:00:00 AM,52490
10/20/2017 12:00:00 AM,50322
10/21/2017 12:00:00 AM,51309
10/22/2017 12:00:00 AM,53759
10/23/2017 12:00:00 AM,56339
10/24/2017 12:00:00 AM,54653
10/25/2017 12:00:00 AM,53779
10/26/2017 12:00:00 AM,52158
10/27/2017 12:00:00 AM,54605
10/28/2017 12:00:00 AM,55725
10/29/2017 12:00:00 AM,54080
10/30/2017 12:00:00 AM,55671
10/31/2017 12:00:00 AM,53902
11/1/2017 12:00:00 AM,56015
11/2/2017 12:00:00 AM,56646
11/3/2017 12:00:00 AM,54344
11/4/2017 12:00:00 AM,58062
11/5/2017 12:00:00 AM,58530
11/6/2017 12:00:00 AM,58428
11/7/2017 12:00:00 AM,56203
11/8/2017 12:00:00 AM,55630
11/9/2017 12:00:00 AM,54945
11/10/2017 12:00:00 AM,49446
11/11/2017 12:00:00 AM,49582
11/12/2017 12:00:00 AM,51027
11/13/2017 12:00:00 AM,46886
11/14/2017 12:00:00 AM,45316
11/15/2017 12:00:00 AM,45109
11/16/2017 12:00:00 AM,47052
11/17/2017 12:00:00 AM,42250
11/18/2017 12:00:00 AM,41466
11/19/2017 12:00:00 AM,37952
11/20/2017 12:00:00 AM,35501
11/21/2017 12:00:00 AM,30399
11/22/2017 12:00:00 AM,29513
11/23/2017 12:00:00 AM,25504
11/24/2017 12:00:00 AM,24968
11/25/2017 12:00:00 AM,25707
11/26/2017 12:00:00 AM,28669
11/27/2017 12:00:00 AM,32564
11/28/2017 12:00:00 AM,32757
11/29/2017 12:00:00 AM,36263
11/30/2017 12:00:00 AM,31995
12/1/2017 12:00:00 AM,29260
12/2/2017 12:00:00 AM,33217
12/3/2017 12:00:00 AM,29602
12/4/2017 12:00:00 AM,28754
12/5/2017 12:00:00 AM,31370
12/6/2017 12:00:00 AM,30111
12/7/2017 12:00:00 AM,30313
12/8/2017 12:00:00 AM,26113
12/9/2017 12:00:00 AM,25054
12/10/2017 12:00:00 AM,21229
12/11/2017 12:00:00 AM,26109
12/12/2017 12:00:00 AM,21352
12/13/2017 12:00:00 AM,21254
12/14/2017 12:00:00 AM,22476
12/15/2017 12:00:00 AM,20168
12/16/2017 12:00:00 AM,24404
12/17/2017 12:00:00 AM,24523
12/18/2017 12:00:00 AM,21850
12/19/2017 12:00:00 AM,22554
12/20/2017 12:00:00 AM,19095
12/21/2017 12:00:00 AM,18121
12/22/2017 12:00:00 AM,15625
12/23/2017 12:00:00 AM,16925
12/24/2017 12:00:00 AM,15637
12/25/2017 12:00:00 AM,11779
12/26/2017 12:00:00 AM,13489
12/27/2017 12:00:00 AM,15496
12/28/2017 12:00:00 AM,16502
12/29/2017 12:00:00 AM,19630
12/30/2017 12:00:00 AM,15674
12/31/2017 12:00:00 AM,14416
1/1/2018 12:00:00 AM,13985
1/2/2018 12:00:00 AM,17805
1/3/2018 12:00:00 AM,18714
1/4/2018 12:00:00 AM,15917
1/5/2018 12:00:00 AM,20171
1/6/2018 12:00:00 AM,20985
1/7/2018 12:00:00 AM,24007
1/8/2018 12:00:00 AM,28730
1/9/2018 12:00:00 AM,29455
1/10/2018 12:00:00 AM,29839
1/11/2018 12:00:00 AM,30843
1/12/2018 12:00:00 AM,29822
1/13/2018 12:00:00 AM,23472
1/14/2018 12:00:00 AM,20769
1/15/2018 12:00:00 AM,17173
1/16/2018 12:00:00 AM,21820
1/17/2018 12:00:00 AM,22605
1/18/2018 12:00:00 AM,24191
