forecast_hour_beginning_ept,forecast_load_mw,
10/1/2017 12:00:00 AM,1344,
10/1/2017 1:00:00 AM,1286,
10/1/2017 2:00:00 AM,1253,
10/1/2017 3:00:00 AM,1237,
10/1/2017 4:00:00 AM,1237,
10/1/2017 5:00:00 AM,1257,
10/1/2017 6:00:00 AM,1300,
10/1/2017 7:00:00 AM,1344,
10/1/2017 8:00:00 AM,1393,
10/1/2017 9:00:00 AM,1463,
10/1/2017 10:00:00 AM,1502,
10/1/2017 11:00:00 AM,1565,
10/1/2017 12:00:00 PM,1574,
10/1/2017 1:00:00 PM,1578,
10/1/2017 2:00:00 PM,1583,
10/1/2017 3:00:00 PM,1586,
10/1/2017 4:00:00 PM,1607,
10/1/2017 5:00:00 PM,1672,
10/1/2017 6:00:00 PM,1677,
10/1/2017 7:00:00 PM,1730,
10/1/2017 8:00:00 PM,1777,
10/1/2017 9:00:00 PM,1726,
10/1/2017 10:00:00 PM,1581,
10/1/2017 11:00:00 PM,1473,
10/2/2017 12:00:00 AM,1433,
10/2/2017 1:00:00 AM,1388,
10/2/2017 2:00:00 AM,1366,
10/2/2017 3:00:00 AM,1362,
10/2/2017 4:00:00 AM,1398,
10/2/2017 5:00:00 AM,1511,
10/2/2017 6:00:00 AM,1711,
10/2/2017 7:00:00 AM,1828,
10/2/2017 8:00:00 AM,1860,
10/2/2017 9:00:00 AM,1906,
10/2/2017 10:00:00 AM,1945,
10/2/2017 11:00:00 AM,1969,
10/2/2017 12:00:00 PM,2009,
10/2/2017 1:00:00 PM,2042,
10/2/2017 2:00:00 PM,2059,
10/2/2017 3:00:00 PM,2052,
10/2/2017 4:00:00 PM,2050,
10/2/2017 5:00:00 PM,2051,
10/2/2017 6:00:00 PM,2022,
10/2/2017 7:00:00 PM,2001,
10/2/2017 8:00:00 PM,2010,
10/2/2017 9:00:00 PM,1920,
10/2/2017 10:00:00 PM,1773,
10/2/2017 11:00:00 PM,1628,
10/3/2017 12:00:00 AM,1579,
10/3/2017 1:00:00 AM,1506,
10/3/2017 2:00:00 AM,1460,
10/3/2017 3:00:00 AM,1435,
10/3/2017 4:00:00 AM,1458,
10/3/2017 5:00:00 AM,1566,
10/3/2017 6:00:00 AM,1766,
10/3/2017 7:00:00 AM,1880,
10/3/2017 8:00:00 AM,1912,
10/3/2017 9:00:00 AM,1970,
10/3/2017 10:00:00 AM,2030,
10/3/2017 11:00:00 AM,2074,
10/3/2017 12:00:00 PM,2139,
10/3/2017 1:00:00 PM,2197,
10/3/2017 2:00:00 PM,2236,
10/3/2017 3:00:00 PM,2245,
10/3/2017 4:00:00 PM,2262,
10/3/2017 5:00:00 PM,2264,
10/3/2017 6:00:00 PM,2226,
10/3/2017 7:00:00 PM,2297,
10/3/2017 8:00:00 PM,2208,
10/3/2017 9:00:00 PM,2081,
10/3/2017 10:00:00 PM,1915,
10/3/2017 11:00:00 PM,1751,
10/4/2017 12:00:00 AM,1739,
10/4/2017 1:00:00 AM,1670,
10/4/2017 2:00:00 AM,1614,
10/4/2017 3:00:00 AM,1584,
10/4/2017 4:00:00 AM,1603,
10/4/2017 5:00:00 AM,1708,
10/4/2017 6:00:00 AM,1916,
10/4/2017 7:00:00 AM,2040,
10/4/2017 8:00:00 AM,2070,
10/4/2017 9:00:00 AM,2125,
10/4/2017 10:00:00 AM,2204,
10/4/2017 11:00:00 AM,2267,
10/4/2017 12:00:00 PM,2350,
10/4/2017 1:00:00 PM,2425,
10/4/2017 2:00:00 PM,2384,
10/4/2017 3:00:00 PM,2372,
10/4/2017 4:00:00 PM,2397,
10/4/2017 5:00:00 PM,2344,
10/4/2017 6:00:00 PM,2333,
10/4/2017 7:00:00 PM,2371,
10/4/2017 8:00:00 PM,2310,
10/4/2017 9:00:00 PM,2196,
10/4/2017 10:00:00 PM,2035,
10/4/2017 11:00:00 PM,1867,
10/5/2017 12:00:00 AM,1765,
10/5/2017 1:00:00 AM,1671,
10/5/2017 2:00:00 AM,1638,
10/5/2017 3:00:00 AM,1613,
10/5/2017 4:00:00 AM,1633,
10/5/2017 5:00:00 AM,1733,
10/5/2017 6:00:00 AM,1921,
10/5/2017 7:00:00 AM,2092,
10/5/2017 8:00:00 AM,2125,
10/5/2017 9:00:00 AM,2188,
10/5/2017 10:00:00 AM,2239,
10/5/2017 11:00:00 AM,2163,
10/5/2017 12:00:00 PM,2150,
10/5/2017 1:00:00 PM,2168,
10/5/2017 2:00:00 PM,2171,
10/5/2017 3:00:00 PM,2151,
10/5/2017 4:00:00 PM,2140,
10/5/2017 5:00:00 PM,2132,
10/5/2017 6:00:00 PM,2157,
10/5/2017 7:00:00 PM,2159,
10/5/2017 8:00:00 PM,2162,
10/5/2017 9:00:00 PM,2082,
10/5/2017 10:00:00 PM,1941,
10/5/2017 11:00:00 PM,1800,
10/6/2017 12:00:00 AM,1652,
10/6/2017 1:00:00 AM,1566,
10/6/2017 2:00:00 AM,1506,
10/6/2017 3:00:00 AM,1472,
10/6/2017 4:00:00 AM,1489,
10/6/2017 5:00:00 AM,1613,
10/6/2017 6:00:00 AM,1833,
10/6/2017 7:00:00 AM,1952,
10/6/2017 8:00:00 AM,1982,
10/6/2017 9:00:00 AM,2045,
10/6/2017 10:00:00 AM,2123,
10/6/2017 11:00:00 AM,2199,
10/6/2017 12:00:00 PM,2272,
10/6/2017 1:00:00 PM,2338,
10/6/2017 2:00:00 PM,2362,
10/6/2017 3:00:00 PM,2352,
10/6/2017 4:00:00 PM,2371,
10/6/2017 5:00:00 PM,2344,
10/6/2017 6:00:00 PM,2293,
10/6/2017 7:00:00 PM,2309,
10/6/2017 8:00:00 PM,2199,
10/6/2017 9:00:00 PM,2093,
10/6/2017 10:00:00 PM,1952,
10/6/2017 11:00:00 PM,1792,
10/7/2017 12:00:00 AM,1632,
10/7/2017 1:00:00 AM,1531,
10/7/2017 2:00:00 AM,1473,
10/7/2017 3:00:00 AM,1438,
10/7/2017 4:00:00 AM,1423,
10/7/2017 5:00:00 AM,1459,
10/7/2017 6:00:00 AM,1510,
10/7/2017 7:00:00 AM,1596,
10/7/2017 8:00:00 AM,1681,
10/7/2017 9:00:00 AM,1777,
10/7/2017 10:00:00 AM,1868,
10/7/2017 11:00:00 AM,1954,
10/7/2017 12:00:00 PM,2017,
10/7/2017 1:00:00 PM,2073,
10/7/2017 2:00:00 PM,2107,
10/7/2017 3:00:00 PM,2144,
10/7/2017 4:00:00 PM,2161,
10/7/2017 5:00:00 PM,2182,
10/7/2017 6:00:00 PM,2160,
10/7/2017 7:00:00 PM,2105,
10/7/2017 8:00:00 PM,2118,
10/7/2017 9:00:00 PM,2030,
10/7/2017 10:00:00 PM,1893,
10/7/2017 11:00:00 PM,1746,
10/8/2017 12:00:00 AM,1578,
10/8/2017 1:00:00 AM,1489,
10/8/2017 2:00:00 AM,1427,
10/8/2017 3:00:00 AM,1385,
10/8/2017 4:00:00 AM,1374,
10/8/2017 5:00:00 AM,1379,
10/8/2017 6:00:00 AM,1424,
10/8/2017 7:00:00 AM,1463,
10/8/2017 8:00:00 AM,1544,
10/8/2017 9:00:00 AM,1631,
10/8/2017 10:00:00 AM,1690,
10/8/2017 11:00:00 AM,1739,
10/8/2017 12:00:00 PM,1788,
10/8/2017 1:00:00 PM,1814,
10/8/2017 2:00:00 PM,1842,
10/8/2017 3:00:00 PM,1857,
10/8/2017 4:00:00 PM,1883,
10/8/2017 5:00:00 PM,1909,
10/8/2017 6:00:00 PM,1904,
10/8/2017 7:00:00 PM,1929,
10/8/2017 8:00:00 PM,1942,
10/8/2017 9:00:00 PM,1861,
10/8/2017 10:00:00 PM,1741,
10/8/2017 11:00:00 PM,1636,
10/9/2017 12:00:00 AM,1587,
10/9/2017 1:00:00 AM,1615,
10/9/2017 2:00:00 AM,1572,
10/9/2017 3:00:00 AM,1555,
10/9/2017 4:00:00 AM,1582,
10/9/2017 5:00:00 AM,1686,
10/9/2017 6:00:00 AM,1913,
10/9/2017 7:00:00 AM,2080,
10/9/2017 8:00:00 AM,2110,
10/9/2017 9:00:00 AM,2168,
10/9/2017 10:00:00 AM,2188,
10/9/2017 11:00:00 AM,2216,
10/9/2017 12:00:00 PM,2236,
10/9/2017 1:00:00 PM,2237,
10/9/2017 2:00:00 PM,2230,
10/9/2017 3:00:00 PM,2201,
10/9/2017 4:00:00 PM,2194,
10/9/2017 5:00:00 PM,2189,
10/9/2017 6:00:00 PM,2196,
10/9/2017 7:00:00 PM,2234,
10/9/2017 8:00:00 PM,2178,
10/9/2017 9:00:00 PM,2095,
10/9/2017 10:00:00 PM,1950,
10/9/2017 11:00:00 PM,1793,
10/10/2017 12:00:00 AM,1663,
10/10/2017 1:00:00 AM,1586,
10/10/2017 2:00:00 AM,1532,
10/10/2017 3:00:00 AM,1497,
10/10/2017 4:00:00 AM,1519,
10/10/2017 5:00:00 AM,1633,
10/10/2017 6:00:00 AM,1825,
10/10/2017 7:00:00 AM,1955,
10/10/2017 8:00:00 AM,2017,
10/10/2017 9:00:00 AM,2082,
10/10/2017 10:00:00 AM,2153,
10/10/2017 11:00:00 AM,2203,
10/10/2017 12:00:00 PM,2270,
10/10/2017 1:00:00 PM,2328,
10/10/2017 2:00:00 PM,2352,
10/10/2017 3:00:00 PM,2365,
10/10/2017 4:00:00 PM,2383,
10/10/2017 5:00:00 PM,2388,
10/10/2017 6:00:00 PM,2343,
10/10/2017 7:00:00 PM,2295,
10/10/2017 8:00:00 PM,2300,
10/10/2017 9:00:00 PM,2189,
10/10/2017 10:00:00 PM,2015,
10/10/2017 11:00:00 PM,1847,
10/11/2017 12:00:00 AM,1706,
10/11/2017 1:00:00 AM,1616,
10/11/2017 2:00:00 AM,1556,
10/11/2017 3:00:00 AM,1529,
