datetime_beginning_ept,datetime_beginning_utc,total_gen,total_losses
10/1/2017 12:00:00 AM,10/1/2017 4:00:00 AM,64740.012,195.900
10/1/2017 1:00:00 AM,10/1/2017 5:00:00 AM,62672.867,190.300
10/1/2017 2:00:00 AM,10/1/2017 6:00:00 AM,61659.369,190.400
10/1/2017 3:00:00 AM,10/1/2017 7:00:00 AM,61228.128,179.300
10/1/2017 4:00:00 AM,10/1/2017 8:00:00 AM,60489.495,180.300
10/1/2017 5:00:00 AM,10/1/2017 9:00:00 AM,61536.291,178.000
10/1/2017 6:00:00 AM,10/1/2017 10:00:00 AM,63643.239,174.900
10/1/2017 7:00:00 AM,10/1/2017 11:00:00 AM,64950.955,170.300
10/1/2017 8:00:00 AM,10/1/2017 12:00:00 PM,68236.599,178.400
10/1/2017 9:00:00 AM,10/1/2017 1:00:00 PM,70172.291,180.800
10/1/2017 10:00:00 AM,10/1/2017 2:00:00 PM,71247.132,176.400
10/1/2017 11:00:00 AM,10/1/2017 3:00:00 PM,71699.846,176.400
10/1/2017 12:00:00 PM,10/1/2017 4:00:00 PM,72649.632,175.600
10/1/2017 1:00:00 PM,10/1/2017 5:00:00 PM,72899.901,174.500
10/1/2017 2:00:00 PM,10/1/2017 6:00:00 PM,73356.454,175.400
10/1/2017 3:00:00 PM,10/1/2017 7:00:00 PM,74207.799,181.900
10/1/2017 4:00:00 PM,10/1/2017 8:00:00 PM,75854.225,188.700
10/1/2017 5:00:00 PM,10/1/2017 9:00:00 PM,77230.304,195.700
10/1/2017 6:00:00 PM,10/1/2017 10:00:00 PM,78076.894,203.900
10/1/2017 7:00:00 PM,10/1/2017 11:00:00 PM,81360.917,222.800
10/1/2017 8:00:00 PM,10/2/2017 12:00:00 AM,81453.093,214.700
10/1/2017 9:00:00 PM,10/2/2017 1:00:00 AM,77716.739,196.300
10/1/2017 10:00:00 PM,10/2/2017 2:00:00 AM,73388.181,184.600
10/1/2017 11:00:00 PM,10/2/2017 3:00:00 AM,68937.914,174.300
10/2/2017 12:00:00 AM,10/2/2017 4:00:00 AM,64671.756,175.200
10/2/2017 1:00:00 AM,10/2/2017 5:00:00 AM,63439.503,168.100
10/2/2017 2:00:00 AM,10/2/2017 6:00:00 AM,63498.206,166.100
10/2/2017 3:00:00 AM,10/2/2017 7:00:00 AM,63087.183,163.600
10/2/2017 4:00:00 AM,10/2/2017 8:00:00 AM,65005.954,168.100
10/2/2017 5:00:00 AM,10/2/2017 9:00:00 AM,69094.390,177.800
10/2/2017 6:00:00 AM,10/2/2017 10:00:00 AM,76522.072,193.800
10/2/2017 7:00:00 AM,10/2/2017 11:00:00 AM,82158.606,193.400
10/2/2017 8:00:00 AM,10/2/2017 12:00:00 PM,83190.573,192.200
10/2/2017 9:00:00 AM,10/2/2017 1:00:00 PM,83620.938,188.200
10/2/2017 10:00:00 AM,10/2/2017 2:00:00 PM,84785.073,186.900
10/2/2017 11:00:00 AM,10/2/2017 3:00:00 PM,85670.740,187.300
10/2/2017 12:00:00 PM,10/2/2017 4:00:00 PM,86957.312,187.800
10/2/2017 1:00:00 PM,10/2/2017 5:00:00 PM,89017.367,190.500
10/2/2017 2:00:00 PM,10/2/2017 6:00:00 PM,90457.455,192.100
10/2/2017 3:00:00 PM,10/2/2017 7:00:00 PM,91307.542,196.100
10/2/2017 4:00:00 PM,10/2/2017 8:00:00 PM,92234.501,208.800
10/2/2017 5:00:00 PM,10/2/2017 9:00:00 PM,92732.544,207.500
10/2/2017 6:00:00 PM,10/2/2017 10:00:00 PM,92426.622,213.300
10/2/2017 7:00:00 PM,10/2/2017 11:00:00 PM,93473.735,230.000
10/2/2017 8:00:00 PM,10/3/2017 12:00:00 AM,91527.730,218.000
10/2/2017 9:00:00 PM,10/3/2017 1:00:00 AM,87209.007,204.700
10/2/2017 10:00:00 PM,10/3/2017 2:00:00 AM,81069.264,192.800
10/2/2017 11:00:00 PM,10/3/2017 3:00:00 AM,75038.557,177.400
10/3/2017 12:00:00 AM,10/3/2017 4:00:00 AM,69602.380,173.500
10/3/2017 1:00:00 AM,10/3/2017 5:00:00 AM,67711.908,174.500
10/3/2017 2:00:00 AM,10/3/2017 6:00:00 AM,66444.500,174.600
10/3/2017 3:00:00 AM,10/3/2017 7:00:00 AM,66043.288,175.500
10/3/2017 4:00:00 AM,10/3/2017 8:00:00 AM,67009.609,176.500
10/3/2017 5:00:00 AM,10/3/2017 9:00:00 AM,71163.871,182.500
10/3/2017 6:00:00 AM,10/3/2017 10:00:00 AM,78352.537,211.700
10/3/2017 7:00:00 AM,10/3/2017 11:00:00 AM,82960.997,216.900
10/3/2017 8:00:00 AM,10/3/2017 12:00:00 PM,83547.068,211.800
10/3/2017 9:00:00 AM,10/3/2017 1:00:00 PM,84274.677,209.900
10/3/2017 10:00:00 AM,10/3/2017 2:00:00 PM,86374.544,209.700
10/3/2017 11:00:00 AM,10/3/2017 3:00:00 PM,87921.785,209.800
10/3/2017 12:00:00 PM,10/3/2017 4:00:00 PM,89118.688,213.300
10/3/2017 1:00:00 PM,10/3/2017 5:00:00 PM,90689.219,210.900
10/3/2017 2:00:00 PM,10/3/2017 6:00:00 PM,92350.306,223.900
10/3/2017 3:00:00 PM,10/3/2017 7:00:00 PM,94056.700,226.200
10/3/2017 4:00:00 PM,10/3/2017 8:00:00 PM,95131.520,229.100
