datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,prelim_load_avg_hourly
10/1/2017 4:00:00 AM,10/1/2017 12:00:00 AM,10/1/2017 5:00:00 AM,10/1/2017 1:00:00 AM,AEP,10473.3
10/1/2017 5:00:00 AM,10/1/2017 1:00:00 AM,10/1/2017 6:00:00 AM,10/1/2017 2:00:00 AM,AEP,10056.8
10/1/2017 6:00:00 AM,10/1/2017 2:00:00 AM,10/1/2017 7:00:00 AM,10/1/2017 3:00:00 AM,AEP,9962.0
10/1/2017 7:00:00 AM,10/1/2017 3:00:00 AM,10/1/2017 8:00:00 AM,10/1/2017 4:00:00 AM,AEP,9839.9
10/1/2017 8:00:00 AM,10/1/2017 4:00:00 AM,10/1/2017 9:00:00 AM,10/1/2017 5:00:00 AM,AEP,9844.8
10/1/2017 9:00:00 AM,10/1/2017 5:00:00 AM,10/1/2017 10:00:00 AM,10/1/2017 6:00:00 AM,AEP,9986.7
10/1/2017 10:00:00 AM,10/1/2017 6:00:00 AM,10/1/2017 11:00:00 AM,10/1/2017 7:00:00 AM,AEP,10389.1
10/1/2017 11:00:00 AM,10/1/2017 7:00:00 AM,10/1/2017 12:00:00 PM,10/1/2017 8:00:00 AM,AEP,10755.6
10/1/2017 12:00:00 PM,10/1/2017 8:00:00 AM,10/1/2017 1:00:00 PM,10/1/2017 9:00:00 AM,AEP,11337.8
10/1/2017 1:00:00 PM,10/1/2017 9:00:00 AM,10/1/2017 2:00:00 PM,10/1/2017 10:00:00 AM,AEP,11584.2
10/1/2017 2:00:00 PM,10/1/2017 10:00:00 AM,10/1/2017 3:00:00 PM,10/1/2017 11:00:00 AM,AEP,11582.5
10/1/2017 3:00:00 PM,10/1/2017 11:00:00 AM,10/1/2017 4:00:00 PM,10/1/2017 12:00:00 PM,AEP,11790.6
10/1/2017 4:00:00 PM,10/1/2017 12:00:00 PM,10/1/2017 5:00:00 PM,10/1/2017 1:00:00 PM,AEP,11905.3
10/1/2017 5:00:00 PM,10/1/2017 1:00:00 PM,10/1/2017 6:00:00 PM,10/1/2017 2:00:00 PM,AEP,11915.5
10/1/2017 6:00:00 PM,10/1/2017 2:00:00 PM,10/1/2017 7:00:00 PM,10/1/2017 3:00:00 PM,AEP,11934.9
10/1/2017 7:00:00 PM,10/1/2017 3:00:00 PM,10/1/2017 8:00:00 PM,10/1/2017 4:00:00 PM,AEP,12014.0
10/1/2017 8:00:00 PM,10/1/2017 4:00:00 PM,10/1/2017 9:00:00 PM,10/1/2017 5:00:00 PM,AEP,12225.4
10/1/2017 9:00:00 PM,10/1/2017 5:00:00 PM,10/1/2017 10:00:00 PM,10/1/2017 6:00:00 PM,AEP,12424.7
10/1/2017 10:00:00 PM,10/1/2017 6:00:00 PM,10/1/2017 11:00:00 PM,10/1/2017 7:00:00 PM,AEP,12473.4
10/1/2017 11:00:00 PM,10/1/2017 7:00:00 PM,10/2/2017 12:00:00 AM,10/1/2017 8:00:00 PM,AEP,12837.1
10/2/2017 12:00:00 AM,10/1/2017 8:00:00 PM,10/2/2017 1:00:00 AM,10/1/2017 9:00:00 PM,AEP,13068.8
10/2/2017 1:00:00 AM,10/1/2017 9:00:00 PM,10/2/2017 2:00:00 AM,10/1/2017 10:00:00 PM,AEP,12599.4
10/2/2017 2:00:00 AM,10/1/2017 10:00:00 PM,10/2/2017 3:00:00 AM,10/1/2017 11:00:00 PM,AEP,11987.4
10/2/2017 3:00:00 AM,10/1/2017 11:00:00 PM,10/2/2017 4:00:00 AM,10/2/2017 12:00:00 AM,AEP,11323.9
10/2/2017 4:00:00 AM,10/2/2017 12:00:00 AM,10/2/2017 5:00:00 AM,10/2/2017 1:00:00 AM,AEP,10920.7
10/2/2017 5:00:00 AM,10/2/2017 1:00:00 AM,10/2/2017 6:00:00 AM,10/2/2017 2:00:00 AM,AEP,10651.5
10/2/2017 6:00:00 AM,10/2/2017 2:00:00 AM,10/2/2017 7:00:00 AM,10/2/2017 3:00:00 AM,AEP,10546.0
10/2/2017 7:00:00 AM,10/2/2017 3:00:00 AM,10/2/2017 8:00:00 AM,10/2/2017 4:00:00 AM,AEP,10527.8
10/2/2017 8:00:00 AM,10/2/2017 4:00:00 AM,10/2/2017 9:00:00 AM,10/2/2017 5:00:00 AM,AEP,10764.3
10/2/2017 9:00:00 AM,10/2/2017 5:00:00 AM,10/2/2017 10:00:00 AM,10/2/2017 6:00:00 AM,AEP,11456.4
10/2/2017 10:00:00 AM,10/2/2017 6:00:00 AM,10/2/2017 11:00:00 AM,10/2/2017 7:00:00 AM,AEP,12760.8
10/2/2017 11:00:00 AM,10/2/2017 7:00:00 AM,10/2/2017 12:00:00 PM,10/2/2017 8:00:00 AM,AEP,13581.9
10/2/2017 12:00:00 PM,10/2/2017 8:00:00 AM,10/2/2017 1:00:00 PM,10/2/2017 9:00:00 AM,AEP,13621.3
10/2/2017 1:00:00 PM,10/2/2017 9:00:00 AM,10/2/2017 2:00:00 PM,10/2/2017 10:00:00 AM,AEP,13788.7
10/2/2017 2:00:00 PM,10/2/2017 10:00:00 AM,10/2/2017 3:00:00 PM,10/2/2017 11:00:00 AM,AEP,13923.4
10/2/2017 3:00:00 PM,10/2/2017 11:00:00 AM,10/2/2017 4:00:00 PM,10/2/2017 12:00:00 PM,AEP,13987.0
10/2/2017 4:00:00 PM,10/2/2017 12:00:00 PM,10/2/2017 5:00:00 PM,10/2/2017 1:00:00 PM,AEP,14177.5
10/2/2017 5:00:00 PM,10/2/2017 1:00:00 PM,10/2/2017 6:00:00 PM,10/2/2017 2:00:00 PM,AEP,14381.4
10/2/2017 6:00:00 PM,10/2/2017 2:00:00 PM,10/2/2017 7:00:00 PM,10/2/2017 3:00:00 PM,AEP,14549.4
10/2/2017 7:00:00 PM,10/2/2017 3:00:00 PM,10/2/2017 8:00:00 PM,10/2/2017 4:00:00 PM,AEP,14495.6
10/2/2017 8:00:00 PM,10/2/2017 4:00:00 PM,10/2/2017 9:00:00 PM,10/2/2017 5:00:00 PM,AEP,14693.2
10/2/2017 9:00:00 PM,10/2/2017 5:00:00 PM,10/2/2017 10:00:00 PM,10/2/2017 6:00:00 PM,AEP,14787.7
10/2/2017 10:00:00 PM,10/2/2017 6:00:00 PM,10/2/2017 11:00:00 PM,10/2/2017 7:00:00 PM,AEP,14722.2
10/2/2017 11:00:00 PM,10/2/2017 7:00:00 PM,10/3/2017 12:00:00 AM,10/2/2017 8:00:00 PM,AEP,14842.1
10/3/2017 12:00:00 AM,10/2/2017 8:00:00 PM,10/3/2017 1:00:00 AM,10/2/2017 9:00:00 PM,AEP,14654.0
10/3/2017 1:00:00 AM,10/2/2017 9:00:00 PM,10/3/2017 2:00:00 AM,10/2/2017 10:00:00 PM,AEP,13917.4
10/3/2017 2:00:00 AM,10/2/2017 10:00:00 PM,10/3/2017 3:00:00 AM,10/2/2017 11:00:00 PM,AEP,12896.6
10/3/2017 3:00:00 AM,10/2/2017 11:00:00 PM,10/3/2017 4:00:00 AM,10/3/2017 12:00:00 AM,AEP,12111.7
10/3/2017 4:00:00 AM,10/3/2017 12:00:00 AM,10/3/2017 5:00:00 AM,10/3/2017 1:00:00 AM,AEP,11582.7
10/3/2017 5:00:00 AM,10/3/2017 1:00:00 AM,10/3/2017 6:00:00 AM,10/3/2017 2:00:00 AM,AEP,11197.3
10/3/2017 6:00:00 AM,10/3/2017 2:00:00 AM,10/3/2017 7:00:00 AM,10/3/2017 3:00:00 AM,AEP,11010.1
10/3/2017 7:00:00 AM,10/3/2017 3:00:00 AM,10/3/2017 8:00:00 AM,10/3/2017 4:00:00 AM,AEP,10966.9
10/3/2017 8:00:00 AM,10/3/2017 4:00:00 AM,10/3/2017 9:00:00 AM,10/3/2017 5:00:00 AM,AEP,11142.7
10/3/2017 9:00:00 AM,10/3/2017 5:00:00 AM,10/3/2017 10:00:00 AM,10/3/2017 6:00:00 AM,AEP,11769.5
10/3/2017 10:00:00 AM,10/3/2017 6:00:00 AM,10/3/2017 11:00:00 AM,10/3/2017 7:00:00 AM,AEP,13078.9
10/3/2017 11:00:00 AM,10/3/2017 7:00:00 AM,10/3/2017 12:00:00 PM,10/3/2017 8:00:00 AM,AEP,13808.4
10/3/2017 12:00:00 PM,10/3/2017 8:00:00 AM,10/3/2017 1:00:00 PM,10/3/2017 9:00:00 AM,AEP,13889.0
10/3/2017 1:00:00 PM,10/3/2017 9:00:00 AM,10/3/2017 2:00:00 PM,10/3/2017 10:00:00 AM,AEP,13946.3
10/3/2017 2:00:00 PM,10/3/2017 10:00:00 AM,10/3/2017 3:00:00 PM,10/3/2017 11:00:00 AM,AEP,14318.1
10/3/2017 3:00:00 PM,10/3/2017 11:00:00 AM,10/3/2017 4:00:00 PM,10/3/2017 12:00:00 PM,AEP,14499.8
10/3/2017 4:00:00 PM,10/3/2017 12:00:00 PM,10/3/2017 5:00:00 PM,10/3/2017 1:00:00 PM,AEP,14942.9
10/3/2017 5:00:00 PM,10/3/2017 1:00:00 PM,10/3/2017 6:00:00 PM,10/3/2017 2:00:00 PM,AEP,15112.3
10/3/2017 6:00:00 PM,10/3/2017 2:00:00 PM,10/3/2017 7:00:00 PM,10/3/2017 3:00:00 PM,AEP,15502.0
10/3/2017 7:00:00 PM,10/3/2017 3:00:00 PM,10/3/2017 8:00:00 PM,10/3/2017 4:00:00 PM,AEP,15810.2
10/3/2017 8:00:00 PM,10/3/2017 4:00:00 PM,10/3/2017 9:00:00 PM,10/3/2017 5:00:00 PM,AEP,16050.5
10/3/2017 9:00:00 PM,10/3/2017 5:00:00 PM,10/3/2017 10:00:00 PM,10/3/2017 6:00:00 PM,AEP,15907.3
