forecast_hour_beginning_ept,forecast_load_mw
10/1/2017 12:00:00 AM,10347
10/1/2017 1:00:00 AM,10017
10/1/2017 2:00:00 AM,9845
10/1/2017 3:00:00 AM,9858
10/1/2017 4:00:00 AM,9886
10/1/2017 5:00:00 AM,10034
10/1/2017 6:00:00 AM,10438
10/1/2017 7:00:00 AM,10689
10/1/2017 8:00:00 AM,11329
10/1/2017 9:00:00 AM,11535
10/1/2017 10:00:00 AM,11572
10/1/2017 11:00:00 AM,11751
10/1/2017 12:00:00 PM,11951
10/1/2017 1:00:00 PM,11973
10/1/2017 2:00:00 PM,12048
10/1/2017 3:00:00 PM,11954
10/1/2017 4:00:00 PM,12161
10/1/2017 5:00:00 PM,12440
10/1/2017 6:00:00 PM,12568
10/1/2017 7:00:00 PM,12852
10/1/2017 8:00:00 PM,13135
10/1/2017 9:00:00 PM,12668
10/1/2017 10:00:00 PM,12004
10/1/2017 11:00:00 PM,11371
10/2/2017 12:00:00 AM,10915
10/2/2017 1:00:00 AM,10663
10/2/2017 2:00:00 AM,10531
10/2/2017 3:00:00 AM,10559
10/2/2017 4:00:00 AM,10834
10/2/2017 5:00:00 AM,11578
10/2/2017 6:00:00 AM,12907
10/2/2017 7:00:00 AM,13560
10/2/2017 8:00:00 AM,13653
10/2/2017 9:00:00 AM,13794
10/2/2017 10:00:00 AM,13943
10/2/2017 11:00:00 AM,14091
10/2/2017 12:00:00 PM,14242
10/2/2017 1:00:00 PM,14477
10/2/2017 2:00:00 PM,14582
10/2/2017 3:00:00 PM,14548
10/2/2017 4:00:00 PM,14652
10/2/2017 5:00:00 PM,14688
10/2/2017 6:00:00 PM,14569
10/2/2017 7:00:00 PM,14569
10/2/2017 8:00:00 PM,14535
10/2/2017 9:00:00 PM,14081
10/2/2017 10:00:00 PM,13109
10/2/2017 11:00:00 PM,12129
10/3/2017 12:00:00 AM,11565
10/3/2017 1:00:00 AM,11132
10/3/2017 2:00:00 AM,10930
10/3/2017 3:00:00 AM,10792
10/3/2017 4:00:00 AM,11002
10/3/2017 5:00:00 AM,11699
10/3/2017 6:00:00 AM,12968
10/3/2017 7:00:00 AM,13550
10/3/2017 8:00:00 AM,13630
10/3/2017 9:00:00 AM,13806
10/3/2017 10:00:00 AM,14118
10/3/2017 11:00:00 AM,14373
10/3/2017 12:00:00 PM,14671
10/3/2017 1:00:00 PM,15055
