datetime_beginning_ept,total_lmp_da
10/1/2017 12:00:00 AM,19.13
10/1/2017 1:00:00 AM,18.51
10/1/2017 2:00:00 AM,17.68
10/1/2017 3:00:00 AM,16.64
10/1/2017 4:00:00 AM,17.62
10/1/2017 5:00:00 AM,18.07
10/1/2017 6:00:00 AM,18.54
10/1/2017 7:00:00 AM,18.95
10/1/2017 8:00:00 AM,20.96
10/1/2017 9:00:00 AM,22.37
10/1/2017 10:00:00 AM,23.05
10/1/2017 11:00:00 AM,23.7
10/1/2017 12:00:00 PM,24.13
10/1/2017 1:00:00 PM,24.41
10/1/2017 2:00:00 PM,24.59
10/1/2017 3:00:00 PM,24.87
10/1/2017 4:00:00 PM,25.77
10/1/2017 5:00:00 PM,26.14
10/1/2017 6:00:00 PM,26.78
10/1/2017 7:00:00 PM,32.14
10/1/2017 8:00:00 PM,28.49
10/1/2017 9:00:00 PM,25.28
10/1/2017 10:00:00 PM,22.56
10/1/2017 11:00:00 PM,18.95
10/2/2017 12:00:00 AM,20.24
10/2/2017 1:00:00 AM,19.69
10/2/2017 2:00:00 AM,18.79
10/2/2017 3:00:00 AM,18.59
10/2/2017 4:00:00 AM,19.81
10/2/2017 5:00:00 AM,23.09
10/2/2017 6:00:00 AM,27.56
10/2/2017 7:00:00 AM,26.5
10/2/2017 8:00:00 AM,27.67
10/2/2017 9:00:00 AM,29.02
10/2/2017 10:00:00 AM,31.23
10/2/2017 11:00:00 AM,32.92
10/2/2017 12:00:00 PM,35.61
10/2/2017 1:00:00 PM,40.52
10/2/2017 2:00:00 PM,38.42
10/2/2017 3:00:00 PM,39.07
10/2/2017 4:00:00 PM,39.22
10/2/2017 5:00:00 PM,39.04
10/2/2017 6:00:00 PM,36.22
10/2/2017 7:00:00 PM,38.34
10/2/2017 8:00:00 PM,33.08
10/2/2017 9:00:00 PM,29.05
10/2/2017 10:00:00 PM,24.07
10/2/2017 11:00:00 PM,23.1
10/3/2017 12:00:00 AM,19.77
10/3/2017 1:00:00 AM,18.49
10/3/2017 2:00:00 AM,18.27
10/3/2017 3:00:00 AM,18.07
10/3/2017 4:00:00 AM,18.7
10/3/2017 5:00:00 AM,21.34
10/3/2017 6:00:00 AM,26.17
10/3/2017 7:00:00 AM,25.38
10/3/2017 8:00:00 AM,25.84
10/3/2017 9:00:00 AM,27.61
10/3/2017 10:00:00 AM,31.06
10/3/2017 11:00:00 AM,32.86
10/3/2017 12:00:00 PM,35.78
10/3/2017 1:00:00 PM,38.38
10/3/2017 2:00:00 PM,39.33
10/3/2017 3:00:00 PM,40.13
10/3/2017 4:00:00 PM,43.33
10/3/2017 5:00:00 PM,41.18
10/3/2017 6:00:00 PM,38.72
10/3/2017 7:00:00 PM,40.59
10/3/2017 8:00:00 PM,38.43
10/3/2017 9:00:00 PM,29.42
10/3/2017 10:00:00 PM,23.92
10/3/2017 11:00:00 PM,22.48
10/4/2017 12:00:00 AM,21.94
10/4/2017 1:00:00 AM,20.96
10/4/2017 2:00:00 AM,20.04
10/4/2017 3:00:00 AM,19.55
10/4/2017 4:00:00 AM,20.26
10/4/2017 5:00:00 AM,22.85
10/4/2017 6:00:00 AM,26.07
10/4/2017 7:00:00 AM,25.32
10/4/2017 8:00:00 AM,25.8
10/4/2017 9:00:00 AM,27.73
10/4/2017 10:00:00 AM,30.53
10/4/2017 11:00:00 AM,32.21
10/4/2017 12:00:00 PM,37.82
10/4/2017 1:00:00 PM,40.28
10/4/2017 2:00:00 PM,41.47
10/4/2017 3:00:00 PM,42.83
10/4/2017 4:00:00 PM,47.14
10/4/2017 5:00:00 PM,43.6
10/4/2017 6:00:00 PM,39.7
10/4/2017 7:00:00 PM,41.8
10/4/2017 8:00:00 PM,38.82
10/4/2017 9:00:00 PM,30.57
10/4/2017 10:00:00 PM,25.02
10/4/2017 11:00:00 PM,23.44
10/5/2017 12:00:00 AM,22.69
10/5/2017 1:00:00 AM,21.62
10/5/2017 2:00:00 AM,20.69
10/5/2017 3:00:00 AM,20.12
10/5/2017 4:00:00 AM,21.03
10/5/2017 5:00:00 AM,23.47
10/5/2017 6:00:00 AM,28.21
10/5/2017 7:00:00 AM,30.29
10/5/2017 8:00:00 AM,30.12
10/5/2017 9:00:00 AM,32.05
10/5/2017 10:00:00 AM,34.12
10/5/2017 11:00:00 AM,37.03
10/5/2017 12:00:00 PM,41.06
10/5/2017 1:00:00 PM,43.3
10/5/2017 2:00:00 PM,45.6
10/5/2017 3:00:00 PM,46.55
10/5/2017 4:00:00 PM,53.02
10/5/2017 5:00:00 PM,48.28
10/5/2017 6:00:00 PM,45.18
10/5/2017 7:00:00 PM,52.82
10/5/2017 8:00:00 PM,42.67
10/5/2017 9:00:00 PM,34.85
10/5/2017 10:00:00 PM,28.19
10/5/2017 11:00:00 PM,24.66
10/6/2017 12:00:00 AM,24.76
10/6/2017 1:00:00 AM,22.86
10/6/2017 2:00:00 AM,21.95
10/6/2017 3:00:00 AM,21.48
10/6/2017 4:00:00 AM,22.19
10/6/2017 5:00:00 AM,24.59
10/6/2017 6:00:00 AM,31.51
10/6/2017 7:00:00 AM,30.83
10/6/2017 8:00:00 AM,31.04
10/6/2017 9:00:00 AM,33.18
10/6/2017 10:00:00 AM,38.63
10/6/2017 11:00:00 AM,41.98
10/6/2017 12:00:00 PM,44.17
10/6/2017 1:00:00 PM,45.64
10/6/2017 2:00:00 PM,51.03
10/6/2017 3:00:00 PM,52.6
10/6/2017 4:00:00 PM,55.97
10/6/2017 5:00:00 PM,49.87
10/6/2017 6:00:00 PM,43.89
10/6/2017 7:00:00 PM,44.97
10/6/2017 8:00:00 PM,43.02
10/6/2017 9:00:00 PM,33.56
10/6/2017 10:00:00 PM,28.04
10/6/2017 11:00:00 PM,25.88
10/7/2017 12:00:00 AM,26.5
10/7/2017 1:00:00 AM,24
10/7/2017 2:00:00 AM,22.86
10/7/2017 3:00:00 AM,22.09
10/7/2017 4:00:00 AM,21.83
10/7/2017 5:00:00 AM,22.15
10/7/2017 6:00:00 AM,22.94
10/7/2017 7:00:00 AM,24.04
10/7/2017 8:00:00 AM,25.2
10/7/2017 9:00:00 AM,29.56
10/7/2017 10:00:00 AM,33.75
10/7/2017 11:00:00 AM,37.7
10/7/2017 12:00:00 PM,41.47
10/7/2017 1:00:00 PM,42.58
10/7/2017 2:00:00 PM,47.44
10/7/2017 3:00:00 PM,52.03
10/7/2017 4:00:00 PM,53.59
10/7/2017 5:00:00 PM,51.42
10/7/2017 6:00:00 PM,45.23
10/7/2017 7:00:00 PM,48.9
10/7/2017 8:00:00 PM,42.27
10/7/2017 9:00:00 PM,35.67
10/7/2017 10:00:00 PM,29.29
10/7/2017 11:00:00 PM,26.43
10/8/2017 12:00:00 AM,24.01
10/8/2017 1:00:00 AM,22.85
10/8/2017 2:00:00 AM,21.96
10/8/2017 3:00:00 AM,21
10/8/2017 4:00:00 AM,20.98
10/8/2017 5:00:00 AM,21.51
10/8/2017 6:00:00 AM,22.14
10/8/2017 7:00:00 AM,23.28
10/8/2017 8:00:00 AM,24.57
10/8/2017 9:00:00 AM,26.54
10/8/2017 10:00:00 AM,30.17
10/8/2017 11:00:00 AM,33.23
10/8/2017 12:00:00 PM,34.91
10/8/2017 1:00:00 PM,39.64
10/8/2017 2:00:00 PM,41.02
10/8/2017 3:00:00 PM,42.98
10/8/2017 4:00:00 PM,46.77
10/8/2017 5:00:00 PM,45.85
10/8/2017 6:00:00 PM,45.15
10/8/2017 7:00:00 PM,53.41
10/8/2017 8:00:00 PM,45.84
10/8/2017 9:00:00 PM,39.76
10/8/2017 10:00:00 PM,29.55
10/8/2017 11:00:00 PM,25.52
10/9/2017 12:00:00 AM,24.03
10/9/2017 1:00:00 AM,22.7
10/9/2017 2:00:00 AM,22.23
