datetime_beginning_utc,datetime_beginning_ept,area,wind_generation_mw
11/2/2018 3:00:00 AM,11/1/2018 11:00:00 PM,MIDATL,802.500
11/2/2018 3:00:00 AM,11/1/2018 11:00:00 PM,SOUTH,248.853
11/2/2018 3:00:00 AM,11/1/2018 11:00:00 PM,WEST,2531.746
11/2/2018 3:00:00 AM,11/1/2018 11:00:00 PM,RTO,3583.099
11/2/2018 3:00:00 AM,11/1/2018 11:00:00 PM,RFC,3334.246
11/2/2018 2:00:00 AM,11/1/2018 10:00:00 PM,MIDATL,794.531
11/2/2018 2:00:00 AM,11/1/2018 10:00:00 PM,SOUTH,268.536
11/2/2018 2:00:00 AM,11/1/2018 10:00:00 PM,WEST,3381.022
11/2/2018 2:00:00 AM,11/1/2018 10:00:00 PM,RTO,4444.089
11/2/2018 2:00:00 AM,11/1/2018 10:00:00 PM,RFC,4175.553
11/2/2018 1:00:00 AM,11/1/2018 9:00:00 PM,MIDATL,820.528
11/2/2018 1:00:00 AM,11/1/2018 9:00:00 PM,SOUTH,266.292
11/2/2018 1:00:00 AM,11/1/2018 9:00:00 PM,WEST,3301.656
11/2/2018 1:00:00 AM,11/1/2018 9:00:00 PM,RTO,4388.476
11/2/2018 1:00:00 AM,11/1/2018 9:00:00 PM,RFC,4122.184
11/2/2018 12:00:00 AM,11/1/2018 8:00:00 PM,MIDATL,796.473
11/2/2018 12:00:00 AM,11/1/2018 8:00:00 PM,SOUTH,275.080
11/2/2018 12:00:00 AM,11/1/2018 8:00:00 PM,WEST,3231.779
11/2/2018 12:00:00 AM,11/1/2018 8:00:00 PM,RTO,4303.332
11/2/2018 12:00:00 AM,11/1/2018 8:00:00 PM,RFC,4028.252
11/1/2018 11:00:00 PM,11/1/2018 7:00:00 PM,MIDATL,655.991
11/1/2018 11:00:00 PM,11/1/2018 7:00:00 PM,SOUTH,273.236
11/1/2018 11:00:00 PM,11/1/2018 7:00:00 PM,WEST,3690.327
11/1/2018 11:00:00 PM,11/1/2018 7:00:00 PM,RTO,4619.554
11/1/2018 11:00:00 PM,11/1/2018 7:00:00 PM,RFC,4346.318
11/1/2018 10:00:00 PM,11/1/2018 6:00:00 PM,MIDATL,556.580
11/1/2018 10:00:00 PM,11/1/2018 6:00:00 PM,SOUTH,252.188
11/1/2018 10:00:00 PM,11/1/2018 6:00:00 PM,WEST,3793.134
11/1/2018 10:00:00 PM,11/1/2018 6:00:00 PM,RTO,4601.902
11/1/2018 10:00:00 PM,11/1/2018 6:00:00 PM,RFC,4349.714
11/1/2018 9:00:00 PM,11/1/2018 5:00:00 PM,MIDATL,371.663
11/1/2018 9:00:00 PM,11/1/2018 5:00:00 PM,SOUTH,219.458
11/1/2018 9:00:00 PM,11/1/2018 5:00:00 PM,WEST,3332.255
11/1/2018 9:00:00 PM,11/1/2018 5:00:00 PM,RTO,3923.376
11/1/2018 9:00:00 PM,11/1/2018 5:00:00 PM,RFC,3703.918
11/1/2018 8:00:00 PM,11/1/2018 4:00:00 PM,MIDATL,271.023
11/1/2018 8:00:00 PM,11/1/2018 4:00:00 PM,SOUTH,158.422
11/1/2018 8:00:00 PM,11/1/2018 4:00:00 PM,WEST,3160.512
11/1/2018 8:00:00 PM,11/1/2018 4:00:00 PM,RTO,3589.957
11/1/2018 8:00:00 PM,11/1/2018 4:00:00 PM,RFC,3431.535
