forecast_hour_beginning_ept,forecast_load_mw
10/1/2017 12:00:00 AM,5591
10/1/2017 1:00:00 AM,5392
10/1/2017 2:00:00 AM,5286
10/1/2017 3:00:00 AM,5278
10/1/2017 4:00:00 AM,5266
10/1/2017 5:00:00 AM,5348
10/1/2017 6:00:00 AM,5507
10/1/2017 7:00:00 AM,5649
10/1/2017 8:00:00 AM,5804
10/1/2017 9:00:00 AM,6066
10/1/2017 10:00:00 AM,6110
10/1/2017 11:00:00 AM,6108
10/1/2017 12:00:00 PM,6119
10/1/2017 1:00:00 PM,6201
10/1/2017 2:00:00 PM,6215
10/1/2017 3:00:00 PM,6235
10/1/2017 4:00:00 PM,6296
10/1/2017 5:00:00 PM,6453
10/1/2017 6:00:00 PM,6460
10/1/2017 7:00:00 PM,6921
10/1/2017 8:00:00 PM,6871
10/1/2017 9:00:00 PM,6623
10/1/2017 10:00:00 PM,6294
10/1/2017 11:00:00 PM,5959
10/2/2017 12:00:00 AM,5708
10/2/2017 1:00:00 AM,5556
10/2/2017 2:00:00 AM,5518
10/2/2017 3:00:00 AM,5513
10/2/2017 4:00:00 AM,5755
10/2/2017 5:00:00 AM,6176
10/2/2017 6:00:00 AM,7009
10/2/2017 7:00:00 AM,7343
10/2/2017 8:00:00 AM,7405
10/2/2017 9:00:00 AM,7534
10/2/2017 10:00:00 AM,7674
10/2/2017 11:00:00 AM,7750
10/2/2017 12:00:00 PM,7819
10/2/2017 1:00:00 PM,7890
10/2/2017 2:00:00 PM,7888
10/2/2017 3:00:00 PM,7845
10/2/2017 4:00:00 PM,7781
10/2/2017 5:00:00 PM,7852
10/2/2017 6:00:00 PM,7767
10/2/2017 7:00:00 PM,7717
10/2/2017 8:00:00 PM,7724
10/2/2017 9:00:00 PM,7463
10/2/2017 10:00:00 PM,6960
10/2/2017 11:00:00 PM,6443
10/3/2017 12:00:00 AM,6125
10/3/2017 1:00:00 AM,5903
10/3/2017 2:00:00 AM,5794
10/3/2017 3:00:00 AM,5749
10/3/2017 4:00:00 AM,5839
10/3/2017 5:00:00 AM,6211
10/3/2017 6:00:00 AM,6871
10/3/2017 7:00:00 AM,7236
10/3/2017 8:00:00 AM,7426
10/3/2017 9:00:00 AM,7622
10/3/2017 10:00:00 AM,7869
10/3/2017 11:00:00 AM,8018
10/3/2017 12:00:00 PM,8157
10/3/2017 1:00:00 PM,8372
10/3/2017 2:00:00 PM,8433
10/3/2017 3:00:00 PM,8537
10/3/2017 4:00:00 PM,8559
10/3/2017 5:00:00 PM,8392
10/3/2017 6:00:00 PM,8291
10/3/2017 7:00:00 PM,8614
10/3/2017 8:00:00 PM,8543
10/3/2017 9:00:00 PM,8014
10/3/2017 10:00:00 PM,7405
10/3/2017 11:00:00 PM,6807
10/4/2017 12:00:00 AM,6464
10/4/2017 1:00:00 AM,6298
10/4/2017 2:00:00 AM,6157
10/4/2017 3:00:00 AM,6081
10/4/2017 4:00:00 AM,6152
10/4/2017 5:00:00 AM,6509
10/4/2017 6:00:00 AM,7175
10/4/2017 7:00:00 AM,7595
10/4/2017 8:00:00 AM,7952
10/4/2017 9:00:00 AM,8065
10/4/2017 10:00:00 AM,8231
10/4/2017 11:00:00 AM,8311
10/4/2017 12:00:00 PM,8420
10/4/2017 1:00:00 PM,8648
10/4/2017 2:00:00 PM,8805
10/4/2017 3:00:00 PM,8757
10/4/2017 4:00:00 PM,8731
10/4/2017 5:00:00 PM,8601
10/4/2017 6:00:00 PM,8546
10/4/2017 7:00:00 PM,8869
10/4/2017 8:00:00 PM,8825
10/4/2017 9:00:00 PM,8408
10/4/2017 10:00:00 PM,7781
10/4/2017 11:00:00 PM,7178
10/5/2017 12:00:00 AM,6840
10/5/2017 1:00:00 AM,6548
10/5/2017 2:00:00 AM,6394
10/5/2017 3:00:00 AM,6229
10/5/2017 4:00:00 AM,6320
10/5/2017 5:00:00 AM,6604
10/5/2017 6:00:00 AM,7326
10/5/2017 7:00:00 AM,7715
10/5/2017 8:00:00 AM,7874
10/5/2017 9:00:00 AM,8132
10/5/2017 10:00:00 AM,8084
10/5/2017 11:00:00 AM,8005
10/5/2017 12:00:00 PM,8015
10/5/2017 1:00:00 PM,8056
10/5/2017 2:00:00 PM,8174
10/5/2017 3:00:00 PM,8129
10/5/2017 4:00:00 PM,8120
10/5/2017 5:00:00 PM,8025
