datetime_beginning_ept,total_lmp_da
10/1/2017 12:00:00 AM,18.19
10/1/2017 1:00:00 AM,17.44
10/1/2017 2:00:00 AM,16.54
10/1/2017 3:00:00 AM,15.47
10/1/2017 4:00:00 AM,16.24
10/1/2017 5:00:00 AM,16.73
10/1/2017 6:00:00 AM,17.28
10/1/2017 7:00:00 AM,17.83
10/1/2017 8:00:00 AM,20.2
10/1/2017 9:00:00 AM,21.87
10/1/2017 10:00:00 AM,22.7
10/1/2017 11:00:00 AM,23.19
10/1/2017 12:00:00 PM,23.6
10/1/2017 1:00:00 PM,23.85
10/1/2017 2:00:00 PM,23.78
10/1/2017 3:00:00 PM,23.96
10/1/2017 4:00:00 PM,24.65
10/1/2017 5:00:00 PM,25.0
10/1/2017 6:00:00 PM,25.65
10/1/2017 7:00:00 PM,31.21
10/1/2017 8:00:00 PM,27.42
10/1/2017 9:00:00 PM,24.33
10/1/2017 10:00:00 PM,21.54
10/1/2017 11:00:00 PM,18.0
10/2/2017 12:00:00 AM,19.41
10/2/2017 1:00:00 AM,18.87
10/2/2017 2:00:00 AM,17.93
10/2/2017 3:00:00 AM,17.69
10/2/2017 4:00:00 AM,18.88
10/2/2017 5:00:00 AM,22.06
10/2/2017 6:00:00 AM,26.52
10/2/2017 7:00:00 AM,25.55
10/2/2017 8:00:00 AM,27.03
10/2/2017 9:00:00 AM,28.63
10/2/2017 10:00:00 AM,31.02
10/2/2017 11:00:00 AM,32.74
10/2/2017 12:00:00 PM,35.5
10/2/2017 1:00:00 PM,40.2
10/2/2017 2:00:00 PM,38.34
10/2/2017 3:00:00 PM,39.09
10/2/2017 4:00:00 PM,38.62
10/2/2017 5:00:00 PM,36.83
10/2/2017 6:00:00 PM,34.79
10/2/2017 7:00:00 PM,37.16
10/2/2017 8:00:00 PM,33.1
10/2/2017 9:00:00 PM,28.15
10/2/2017 10:00:00 PM,23.59
10/2/2017 11:00:00 PM,22.54
10/3/2017 12:00:00 AM,19.56
10/3/2017 1:00:00 AM,18.15
10/3/2017 2:00:00 AM,17.87
10/3/2017 3:00:00 AM,17.64
10/3/2017 4:00:00 AM,18.26
10/3/2017 5:00:00 AM,21.1
10/3/2017 6:00:00 AM,26.3
10/3/2017 7:00:00 AM,25.78
10/3/2017 8:00:00 AM,26.42
10/3/2017 9:00:00 AM,28.2
10/3/2017 10:00:00 AM,31.87
10/3/2017 11:00:00 AM,33.9
10/3/2017 12:00:00 PM,36.81
10/3/2017 1:00:00 PM,39.27
10/3/2017 2:00:00 PM,40.26
10/3/2017 3:00:00 PM,40.87
10/3/2017 4:00:00 PM,44.38
10/3/2017 5:00:00 PM,41.98
10/3/2017 6:00:00 PM,39.38
10/3/2017 7:00:00 PM,41.05
10/3/2017 8:00:00 PM,39.23
10/3/2017 9:00:00 PM,29.82
10/3/2017 10:00:00 PM,23.8
10/3/2017 11:00:00 PM,22.37
10/4/2017 12:00:00 AM,21.57
10/4/2017 1:00:00 AM,20.46
10/4/2017 2:00:00 AM,19.45
10/4/2017 3:00:00 AM,18.95
10/4/2017 4:00:00 AM,19.76
10/4/2017 5:00:00 AM,22.43
10/4/2017 6:00:00 AM,26.11
10/4/2017 7:00:00 AM,25.44
10/4/2017 8:00:00 AM,25.77
10/4/2017 9:00:00 AM,27.61
10/4/2017 10:00:00 AM,30.83
10/4/2017 11:00:00 AM,32.52
10/4/2017 12:00:00 PM,37.97
10/4/2017 1:00:00 PM,40.24
10/4/2017 2:00:00 PM,41.7
10/4/2017 3:00:00 PM,43.36
10/4/2017 4:00:00 PM,48.02
10/4/2017 5:00:00 PM,43.95
10/4/2017 6:00:00 PM,39.8
10/4/2017 7:00:00 PM,42.1
10/4/2017 8:00:00 PM,38.77
