time,Coal,Gas,Hydro,Multiple Fuels,Nuclear,Oil,Other,Other Renewables,Solar,Storage,Wind
10/1/2017 12:00:00 AM,17209.2,14868.6,197.1,479.7,31640.6,214.6,35.7,521.4,4.6,0,3006.9
10/1/2017 1:00:00 AM,16057.9,14304.8,197.2,505.8,31498.3,214.3,36.7,537.4,4.6,0,3268.1
10/1/2017 2:00:00 AM,15460.7,13652.7,197.1,467,31520.8,218.3,40.2,520.6,4.6,0,3260.5
10/1/2017 3:00:00 AM,15319.3,14092.1,191.4,495.1,31490.4,222.2,35.1,530.4,4.6,0,2811
10/1/2017 4:00:00 AM,15012.4,13748.4,198.9,478.8,31497.3,223.5,34.5,531.4,4.6,0,2602.7
10/1/2017 5:00:00 AM,14939.2,15047.2,216.4,494.5,31408.5,229.5,36,517.5,4.6,0,2244.7
10/1/2017 6:00:00 AM,15277.8,17020.9,220.1,601.9,31293.8,227.9,39.5,531.5,4.6,0,2098.5
10/1/2017 7:00:00 AM,15908.9,16871.3,219.7,612.5,31416.5,226.1,37.1,523.2,6.5,0,1835
10/1/2017 8:00:00 AM,16198.6,18039.1,217.7,816.1,31455.5,223.6,37.2,525.1,257.9,0,1888.8
10/1/2017 9:00:00 AM,16797.4,18462.3,215.2,778.5,31557.2,222.4,38,527.2,469.8,0,1319.4
10/1/2017 10:00:00 AM,18507.3,18495.4,212.2,658.6,31585.5,219.5,36.2,522.1,528.2,0,840.6
10/1/2017 11:00:00 AM,18485.4,18766.1,205.2,511,31575.7,221.9,36.4,535.5,485.6,0,1157.4
10/1/2017 12:00:00 PM,18886.9,19340.9,205.4,512.4,31599.5,223.5,33.6,528.8,420.9,0,1468.4
10/1/2017 1:00:00 PM,19159.6,19152.5,204,509.7,31607.5,223.3,40.7,525.3,505.2,0,1307.7
10/1/2017 2:00:00 PM,19683.4,19074.9,536.8,515.1,31585.7,221.3,41.8,537.6,455,0,1026.8
10/1/2017 3:00:00 PM,20099.9,19524.1,573.2,498,31592.8,218.9,40,522.7,442.4,0,926.2
10/1/2017 4:00:00 PM,21001.2,19811.4,996,482.5,31561.8,217,42.5,529.3,370,0,1107.5
10/1/2017 5:00:00 PM,22194.4,20098.7,720.9,651.5,31544,217,37.2,530.3,263,0,1143.9
10/1/2017 6:00:00 PM,22044.2,20499.7,1561.7,631.5,31550.7,214.1,37.1,529.2,28.4,0,1166.5
10/1/2017 7:00:00 PM,22799.8,21423.6,3181.5,845,31405.7,212.4,34.6,528,4.6,0,1246.9
10/1/2017 8:00:00 PM,22936.7,22223.9,2051.4,780.2,31220.9,211.7,33.5,531.4,4.6,0,2197.5
10/1/2017 9:00:00 PM,21924.7,20172.7,841.7,555.1,31061.7,214.1,2.8,513.1,4.6,0,3100.3
10/1/2017 10:00:00 PM,19385.3,19296,170.9,555.3,30991.8,215.5,2.8,512.1,4.6,0,3338.9
10/1/2017 11:00:00 PM,16861.4,17280,170.4,484.4,30827.7,215.5,2.8,509.1,4.6,0,3580.6
10/2/2017 12:00:00 AM,16153.2,15601.4,173,485.1,30624.6,219.4,2.8,511.7,4.6,0,3643.4
10/2/2017 1:00:00 AM,15946.4,15346.3,174.3,489.4,30594.2,221.4,2.7,520.4,4.6,0,3328
10/2/2017 2:00:00 AM,15931.8,15481.5,178.3,489.3,30604.8,225.3,2.7,529,4.6,0,3161.6
10/2/2017 3:00:00 AM,16033.7,15724.1,178.6,503,30615.1,230.8,2.7,518.7,4.6,0,2859.5
10/2/2017 4:00:00 AM,16029.4,16860.4,188.3,489.4,30606.6,231.7,2.7,522.6,4.6,0,2651.6
10/2/2017 5:00:00 AM,17834.5,18833.6,198.9,512.5,30613.5,230.1,2.6,542.9,4.6,0,2509.6
10/2/2017 6:00:00 AM,20640,21731.6,235.1,677.9,30613.6,227.7,2.6,523.6,4.6,0,2388.9
10/2/2017 7:00:00 AM,24476.2,23675,251.6,855.2,30613.6,225.1,2.6,539,7,0,2285.3
10/2/2017 8:00:00 AM,24462,24038,243.3,724.7,30577.4,222.9,2.6,542.2,222.9,0,2442
10/2/2017 9:00:00 AM,24701,24714.2,263.4,596.7,30545.5,222.4,2.6,547.4,450.7,0,1951.7
10/2/2017 10:00:00 AM,25654.1,25221.8,338,581.2,30505.8,223.3,2.5,550.4,538.9,0,1489.8
10/2/2017 11:00:00 AM,26759.8,25236.1,289.8,676.3,30497.8,223.4,2.5,535.3,560.9,0,1248.2
10/2/2017 12:00:00 PM,27109.1,25454.3,608.8,832.4,30476.2,224.8,2.4,514,577.9,0,1300.4
10/2/2017 1:00:00 PM,27564.9,25734.6,1521.6,733.9,30482.6,223.4,2.4,483.9,566.8,0,1767.1
10/2/2017 2:00:00 PM,27935.6,26566.4,1844.4,898.6,30452,219.6,2.4,485.9,542.2,0,1948.4
10/2/2017 3:00:00 PM,28004.6,26329.7,2091.3,921.8,30471.1,220.5,2.4,490.4,519.3,0,2051.9
10/2/2017 4:00:00 PM,27762.8,26651.2,3262.8,999.5,30452.6,216.7,2.2,495,423.7,0,2224.8
10/2/2017 5:00:00 PM,28117.2,27141.9,2961.4,985.9,30449.8,214.6,2.2,501.9,210.7,0,2427.4
10/2/2017 6:00:00 PM,28455,27130.8,2080.3,979.7,30453.3,210.8,2,502.8,14.3,0,2591.6
10/2/2017 7:00:00 PM,28491.6,27282.7,3128.8,993,30418.2,213.2,2.5,484.9,6.8,0,2299.2
10/2/2017 8:00:00 PM,28161.7,26334.7,2075.3,800.2,30449.2,211.8,2.4,491.2,6.8,0,3023.8
10/2/2017 9:00:00 PM,27687.2,24652.4,532.8,681.8,30477.8,213.8,2.5,504.7,6.8,0,3299.1
10/2/2017 10:00:00 PM,24373.9,21903.6,184.6,504.1,30523.7,216.2,2.6,498.1,6.8,0,3530.9
10/2/2017 11:00:00 PM,22038.5,19503.9,185.3,407.7,30439.6,216.1,2.5,491.6,6.8,0,3739.8
10/3/2017 12:00:00 AM,19701.9,17790.7,185.5,358.5,30426.2,215.5,2.5,488.8,6.8,0,4134.2
10/3/2017 1:00:00 AM,18112.6,17432.5,184,332.3,30441.4,219.2,2.4,489.6,6.8,0,4278.5
10/3/2017 2:00:00 AM,17192.2,16656.5,183.6,333.5,30445.3,226.8,2.3,489.5,6.8,0,4245.9
10/3/2017 3:00:00 AM,17195.6,16211.5,181.3,333.4,30478.8,230.8,2.2,455.1,6.8,0,4069.9
10/3/2017 4:00:00 AM,17415.4,17087.7,179.4,332.2,30474.8,228.1,2.2,495.6,6.8,0,3869.9
10/3/2017 5:00:00 AM,19559.8,18427.6,178.6,360.4,30485.4,226.2,2.1,490.5,6.8,0,3687.6
10/3/2017 6:00:00 AM,21870.9,21372,203.2,425.7,30478.2,225.5,2,489,6.8,0,3683.2
10/3/2017 7:00:00 AM,24581.2,23779.9,202.9,591.8,30496.8,224.8,1.1,491.7,10,0,3699.2
10/3/2017 8:00:00 AM,24721.8,23517,198.2,851.3,30485.2,224,2.3,488.7,236.3,0,3437.7
10/3/2017 9:00:00 AM,24733.2,23961,188.5,852.7,30473,224.1,2.2,485.3,458.5,0,2881.3
10/3/2017 10:00:00 AM,26343.2,24216.9,178.6,998.7,30474.9,223.5,2.2,456.5,492.4,0,3025.3
10/3/2017 11:00:00 AM,27406.9,25086.9,179.4,974.8,30466.2,223.7,2.1,498.3,509.6,0,3023.4
10/3/2017 12:00:00 PM,27696.9,25659.3,176.5,884.6,30462.6,225.5,2,485.5,560.2,0,3035.1
10/3/2017 1:00:00 PM,27719.7,26376,1327.2,659.2,30457.1,276.1,1.9,485.4,547.5,0,2865.9
10/3/2017 2:00:00 PM,27632.4,26279.4,3153.4,722.7,30428,354.3,1.9,489.4,521.2,0,3088.1
10/3/2017 3:00:00 PM,28196.4,26995.3,3610.5,890.7,30425.5,297.5,1.9,484.3,495.2,0,3289.3
10/3/2017 4:00:00 PM,28368.1,27942.1,3671.2,1004.6,30420.6,295.3,0,499.2,408.9,0,2726.7
10/3/2017 5:00:00 PM,28121.1,29253.4,3271.2,997.9,30417,294.1,3.3,493.3,243.3,0,2879.3
10/3/2017 6:00:00 PM,28072.8,29281.9,2848.5,1008,30414.2,285.2,3.2,485.1,15.3,0,2637.2
10/3/2017 7:00:00 PM,28108.9,29649.1,2918,1007.2,30409.7,293.6,3.2,506.1,4.6,0,2254.9
10/3/2017 8:00:00 PM,28344.1,29437.4,2350.8,968.1,30446.5,294,3.2,508.9,4.6,0,2507.3
10/3/2017 9:00:00 PM,28097.8,27932.5,188.5,940.5,30454.8,297.2,3.4,504.4,4.6,0,2225.8
10/3/2017 10:00:00 PM,26261.5,24699.6,190.1,581.6,30470.2,215.7,3.3,507.3,4.6,0,2710.4
10/3/2017 11:00:00 PM,23933.4,22795.2,197.5,370.4,30493.4,216.4,3.2,513.5,4.6,0,2983.5
10/4/2017 12:00:00 AM,21548.9,19471.3,200.5,355.8,30489,217.3,3.1,504.7,4.6,0,3551.7
10/4/2017 1:00:00 AM,19741.3,19615.5,204.3,406.4,30510.6,219.8,3.1,502.7,4.6,0,3312.5
10/4/2017 2:00:00 AM,19041.6,18718,204.4,320.3,30509.2,225.3,3,494.8,4.6,0,2993.7
10/4/2017 3:00:00 AM,18500.3,18729.6,206.7,322.6,30510.5,228.8,3,501,4.6,0,2696.6
10/4/2017 4:00:00 AM,18636.2,19464.6,209.5,323.3,30499.5,230.6,3,491,4.6,0,2455
10/4/2017 5:00:00 AM,20867.7,21582.5,206.8,394.9,30298.6,227.9,2.9,497.9,4.6,0,2122.1
10/4/2017 6:00:00 AM,23235.5,24348,231.3,451.4,30352.6,226.1,2.9,490.5,4.6,0,2320.3
