datetime_beginning_ept,total_lmp_da,system_energy_price_da,congestion_price_da,marginal_loss_price_da
10/1/2017 12:00:00 AM,19.13,15.79,3.25,0.09
10/1/2017 1:00:00 AM,18.51,14.99,3.38,0.14
10/1/2017 2:00:00 AM,17.68,14.03,3.51,0.14
10/1/2017 3:00:00 AM,16.64,12.97,3.52,0.15
10/1/2017 4:00:00 AM,17.62,13.22,4.26,0.14
10/1/2017 5:00:00 AM,18.07,13.7,4.23,0.14
10/1/2017 6:00:00 AM,18.54,14.29,4.14,0.11
10/1/2017 7:00:00 AM,18.95,15.32,3.5,0.13
10/1/2017 8:00:00 AM,20.96,17.58,3.33,0.05
10/1/2017 9:00:00 AM,22.37,19.53,2.85,-0.01
10/1/2017 10:00:00 AM,23.05,20.55,2.57,-0.07
10/1/2017 11:00:00 AM,23.7,21.03,2.72,-0.05
10/1/2017 12:00:00 PM,24.13,21.56,2.63,-0.06
10/1/2017 1:00:00 PM,24.41,21.82,2.65,-0.06
10/1/2017 2:00:00 PM,24.59,21.76,2.91,-0.08
10/1/2017 3:00:00 PM,24.87,22.06,2.89,-0.08
10/1/2017 4:00:00 PM,25.77,22.69,3.15,-0.07
10/1/2017 5:00:00 PM,26.14,23.33,2.89,-0.08
10/1/2017 6:00:00 PM,26.78,23.99,2.88,-0.09
10/1/2017 7:00:00 PM,32.14,29.58,2.77,-0.21
10/1/2017 8:00:00 PM,28.49,25.81,2.75,-0.07
10/1/2017 9:00:00 PM,25.28,22.67,2.59,0.02
10/1/2017 10:00:00 PM,22.56,19.87,2.6,0.09
10/1/2017 11:00:00 PM,18.95,16.44,2.43,0.08
10/2/2017 12:00:00 AM,20.24,17.01,3.12,0.11
10/2/2017 1:00:00 AM,19.69,17.03,2.55,0.11
10/2/2017 2:00:00 AM,18.79,16.15,2.49,0.15
10/2/2017 3:00:00 AM,18.59,15.95,2.47,0.17
10/2/2017 4:00:00 AM,19.81,16.73,2.95,0.13
10/2/2017 5:00:00 AM,23.09,19.6,3.31,0.18
10/2/2017 6:00:00 AM,27.56,24.44,2.91,0.21
10/2/2017 7:00:00 AM,26.5,23.99,2.3,0.21
10/2/2017 8:00:00 AM,27.67,24.64,2.88,0.15
10/2/2017 9:00:00 AM,29.02,25.57,3.36,0.09
10/2/2017 10:00:00 AM,31.23,27.67,3.56,0
10/2/2017 11:00:00 AM,32.92,29.26,3.72,-0.06
10/2/2017 12:00:00 PM,35.61,31.6,4.09,-0.08
10/2/2017 1:00:00 PM,40.52,35.13,5.54,-0.15
