time,prelim_load_avg_hourly,prelim_load_avg_hourly.1,prelim_load_avg_hourly.2,prelim_load_avg_hourly.3,prelim_load_avg_hourly.4,prelim_load_avg_hourly.5,prelim_load_avg_hourly.6,system_energy_price_da,congestion_price_da,marginal_loss_price_da,system_energy_price_da.1,congestion_price_da.1,marginal_loss_price_da.1,system_energy_price_da.2,congestion_price_da.2,marginal_loss_price_da.2,system_energy_price_da.3,congestion_price_da.3,marginal_loss_price_da.3,system_energy_price_da.4,congestion_price_da.4,marginal_loss_price_da.4,system_energy_price_da.5,congestion_price_da.5,marginal_loss_price_da.5,total_lmp_da,total_lmp_da.1,total_lmp_da.2,total_lmp_da.3,total_lmp_da.4,total_lmp_da.5,outage,total_lmp_da,total_lmp_da,total_lmp_da,total_lmp_da,total_lmp_da,total_lmp_da,total_lmp_da,total_lmp_da,total_lmp_da,total_lmp_da,total_lmp_da,total_lmp_da,total_lmp_da,total_lmp_da,total_lmp_da,total_lmp_da,total_lmp_da,total_lmp_da,total_lmp_da,total_lmp_da,total_lmp_da,total_lmp_da,total_lmp_da,total_lmp_da
0,11510.7,11885.4,12254.7,11969.4,11582.7,10920.7,10473.3,23.79,1.11,-0.14,21.86,0.99,-0.16,20.11,1.81,0.02,17.52,2.13,0.12,17.01,3.12,0.11,15.79,3.25,0.09,24.76,22.69,21.94,19.77,20.24,19.13,55033,25.88,28.04,33.56,43.02,44.97,43.89,49.87,55.97,52.6,51.03,45.64,44.17,41.98,38.63,33.18,31.04,30.83,31.51,24.59,22.19,21.48,21.95,22.86,24.76
1,10916.5,11501.4,11725.7,11521,11197.3,10651.5,10056.8,21.95,1.02,-0.11,20.7,1.04,-0.12,18.86,2.08,0.02,16.15,2.16,0.18,17.03,2.55,0.11,14.99,3.38,0.14,22.86,21.62,20.96,18.49,19.69,18.51,55033,26.5,25.88,28.04,33.56,43.02,44.97,43.89,49.87,55.97,52.6,51.03,45.64,44.17,41.98,38.63,33.18,31.04,30.83,31.51,24.59,22.19,21.48,21.95,22.86
2,10731.5,11097.5,11438.9,11347.9,11010.1,10546,9962,20.98,1.07,-0.1,19.77,1.01,-0.09,17.8,2.16,0.08,15.65,2.44,0.18,16.15,2.49,0.15,14.03,3.51,0.14,21.95,20.69,20.04,18.27,18.79,17.68,55033,24,26.5,25.88,28.04,33.56,43.02,44.97,43.89,49.87,55.97,52.6,51.03,45.64,44.17,41.98,38.63,33.18,31.04,30.83,31.51,24.59,22.19,21.48,21.95
3,10555.9,11142,11361.1,11278.5,10966.9,10527.8,9839.9,20.26,1.3,-0.08,19.18,1.01,-0.07,17.22,2.24,0.09,15.41,2.47,0.19,15.95,2.47,0.17,12.97,3.52,0.15,21.48,20.12,19.55,18.07,18.59,16.64,55033,22.86,24,26.5,25.88,28.04,33.56,43.02,44.97,43.89,49.87,55.97,52.6,51.03,45.64,44.17,41.98,38.63,33.18,31.04,30.83,31.51,24.59,22.19,21.48
4,10490.3,11305.2,11546,11495.1,11142.7,10764.3,9844.8,20.87,1.43,-0.11,19.96,1.19,-0.12,18.04,2.17,0.05,15.94,2.56,0.2,16.73,2.95,0.13,13.22,4.26,0.14,22.19,21.03,20.26,18.7,19.81,17.62,55033,22.09,22.86,24,26.5,25.88,28.04,33.56,43.02,44.97,43.89,49.87,55.97,52.6,51.03,45.64,44.17,41.98,38.63,33.18,31.04,30.83,31.51,24.59,22.19
5,10658,11946.7,12205.4,12108.6,11769.5,11456.4,9986.7,23.19,1.66,-0.26,22.29,1.45,-0.27,20.82,2.07,-0.04,18.66,2.68,0,19.6,3.31,0.18,13.7,4.23,0.14,24.59,23.47,22.85,21.34,23.09,18.07,55033,21.83,22.09,22.86,24,26.5,25.88,28.04,33.56,43.02,44.97,43.89,49.87,55.97,52.6,51.03,45.64,44.17,41.98,38.63,33.18,31.04,30.83,31.51,24.59
6,11134.6,13241.4,13523.2,13520.8,13078.9,12760.8,10389.1,29.58,2.39,-0.46,27.19,1.57,-0.55,24.29,2.13,-0.35,23.61,2.76,-0.2,24.44,2.91,0.21,14.29,4.14,0.11,31.51,28.21,26.07,26.17,27.56,18.54,55033,22.15,21.83,22.09,22.86,24,26.5,25.88,28.04,33.56,43.02,44.97,43.89,49.87,55.97,52.6,51.03,45.64,44.17,41.98,38.63,33.18,31.04,30.83,31.51
7,11659,13989.2,14227.7,14187.2,13808.4,13581.9,10755.6,29.21,2.11,-0.49,29.25,1.5,-0.46,24.11,1.49,-0.28,23.69,1.81,-0.12,23.99,2.3,0.21,15.32,3.5,0.13,30.83,30.29,25.32,25.38,26.5,18.95,55033,22.94,22.15,21.83,22.09,22.86,24,26.5,25.88,28.04,33.56,43.02,44.97,43.89,49.87,55.97,52.6,51.03,45.64,44.17,41.98,38.63,33.18,31.04,30.83
8,12088.8,14089.6,14283.5,14354,13889,13621.3,11337.8,29.33,2.14,-0.43,29.16,1.39,-0.43,24.22,1.77,-0.19,24.28,1.7,-0.14,24.64,2.88,0.15,17.58,3.33,0.05,31.04,30.12,25.8,25.84,27.67,20.96,55033,24.04,22.94,22.15,21.83,22.09,22.86,24,26.5,25.88,28.04,33.56,43.02,44.97,43.89,49.87,55.97,52.6,51.03,45.64,44.17,41.98,38.63,33.18,31.04
9,12804.2,14377.2,14517.1,14564.6,13946.3,13788.7,11584.2,31.66,2.01,-0.49,31.39,1.2,-0.54,26.01,1.94,-0.22,26.18,1.55,-0.12,25.57,3.36,0.09,19.53,2.85,-0.01,33.18,32.05,27.73,27.61,29.02,22.37,55033,25.2,24.04,22.94,22.15,21.83,22.09,22.86,24,26.5,25.88,28.04,33.56,43.02,44.97,43.89,49.87,55.97,52.6,51.03,45.64,44.17,41.98,38.63,33.18
